knapsack,RHC,100,1,4,4,1110.2109032075114,3.0,2536.0739204784722
knapsack,RHC,100,1,8,4,1347.2473630830912,2.0,2536.0739204784722
knapsack,RHC,100,200,2,203,2118.2616950794786,3.0,2536.0739204784722
knapsack,RHC,100,100,6,103,1848.0731779923217,17.0,2536.0739204784722
knapsack,RHC,100,1,5,4,1416.0181201834368,3.0,2536.0739204784722
knapsack,RHC,100,1,7,4,1498.386389778792,15.0,2536.0739204784722
knapsack,RHC,100,50,5,53,1665.0478424658206,17.0,2536.0739204784722
knapsack,RHC,100,100,4,103,1508.082572023179,18.0,2536.0739204784722
knapsack,RHC,100,100,1,103,1591.5958737723292,16.0,2536.0739204784722
knapsack,RHC,100,50,7,53,1433.9783068739703,16.0,2536.0739204784722
knapsack,RHC,100,150,6,153,1943.1653118592662,4.0,2536.0739204784722
knapsack,RHC,100,200,6,203,2070.8517878512253,3.0,2536.0739204784722
knapsack,RHC,100,50,8,53,1515.6187471491091,9.0,2536.0739204784722
knapsack,RHC,100,200,8,203,2102.9773106955195,3.0,2536.0739204784722
knapsack,RHC,100,50,9,53,1535.5288804228758,15.0,2536.0739204784722
knapsack,RHC,100,300,1,303,2238.583788919174,5.0,2536.0739204784722
knapsack,RHC,100,1,9,4,1386.4654893111701,2.0,2536.0739204784722
knapsack,RHC,100,100,8,103,1657.9783904196802,14.0,2536.0739204784722
knapsack,RHC,100,50,2,53,1378.0262697939706,19.0,2536.0739204784722
knapsack,RHC,100,150,8,153,2106.37462444755,3.0,2536.0739204784722
knapsack,RHC,100,200,5,203,2023.512159209635,3.0,2536.0739204784722
knapsack,RHC,100,100,9,103,1841.361653065828,18.0,2536.0739204784722
knapsack,RHC,100,1,3,4,1268.621877557899,1.0,2536.0739204784722
knapsack,RHC,100,150,5,153,1849.137991165583,3.0,2536.0739204784722
knapsack,RHC,100,100,3,103,1645.3157321482931,18.0,2536.0739204784722
knapsack,RHC,100,50,3,53,1519.515562195363,11.0,2536.0739204784722
knapsack,RHC,100,300,6,303,2325.237180576679,2.0,2536.0739204784722
knapsack,RHC,100,150,4,153,2032.6557291951626,7.0,2536.0739204784722
knapsack,RHC,100,150,9,153,2227.200691875606,3.0,2536.0739204784722
knapsack,RHC,100,50,0,53,1757.5246589770907,12.0,2536.0739204784722
knapsack,RHC,100,200,3,203,2081.869359915891,2.0,2536.0739204784722
knapsack,RHC,100,100,2,103,1650.2317587125806,15.0,2536.0739204784722
knapsack,RHC,100,150,0,153,1925.4779237185285,10.0,2536.0739204784722
knapsack,RHC,100,200,0,203,2117.58279710663,3.0,2536.0739204784722
knapsack,RHC,100,50,1,53,1683.1899125892191,12.0,2536.0739204784722
knapsack,RHC,100,1,1,4,1267.779805421888,15.0,2536.0739204784722
knapsack,RHC,100,300,0,303,2147.1390227254433,6.0,2536.0739204784722
knapsack,RHC,100,150,7,153,2053.7851422571302,2.0,2536.0739204784722
knapsack,RHC,100,300,9,303,2365.055704379557,13.0,2536.0739204784722
knapsack,RHC,100,150,3,153,1892.2332327504437,9.0,2536.0739204784722
