algorithm,iterations,functions
SA75,200,203
SA75,200,203
SA75,200,203
SA75,200,203
SA75,300,303
SA75,300,303
SA75,300,303
SA75,300,303
SA75,300,303
SA75,300,303
SA75,300,303
SA75,300,303
SA75,300,303
SA75,300,303
SA75,400,403
SA75,400,403
SA75,400,403
SA75,400,403
SA75,400,403
SA75,400,403
SA75,400,403
SA75,400,403
SA75,400,403
SA75,400,403
SA75,500,503
SA75,500,503
SA75,500,503
SA75,500,503
SA75,500,503
SA75,500,503
SA75,500,503
SA75,500,503
SA75,500,503
SA75,500,503
SA75,600,603
SA75,600,603
SA75,600,603
SA75,600,603
SA75,600,603
SA75,600,603
SA75,600,603
SA75,600,603
SA75,600,603
SA75,600,603
SA75,700,703
SA75,700,703
SA75,700,703
SA75,700,703
SA75,700,703
SA75,700,703
SA75,700,703
SA75,700,703
SA75,700,703
SA75,700,703
SA75,800,803
SA75,800,803
SA75,800,803
SA75,800,803
SA75,800,803
SA75,800,803
SA75,800,803
SA75,800,803
SA75,800,803
SA75,800,803
SA75,900,903
SA75,900,903
SA75,900,903
SA75,900,903
SA75,900,903
SA75,900,903
SA75,900,903
SA75,900,903
SA75,900,903
SA75,900,903
SA75,1000,1003
SA75,1000,1003
SA75,1000,1003
SA75,1000,1003
SA75,1000,1003
SA75,1000,1003
SA75,1000,1003
SA75,1000,1003
SA75,1000,1003
SA75,1000,1003
SA95,1,4
SA95,1,4
SA95,1,4
SA95,1,4
SA95,1,4
SA95,1,4
SA95,1,4
SA95,1,4
SA95,1,4
SA95,1,4
SA95,50,53
SA95,50,53
SA95,50,53
SA95,50,53
SA95,50,53
SA95,50,53
SA95,50,53
SA95,50,53
SA95,50,53
SA95,50,53
SA95,100,103
SA95,100,103
SA95,100,103
SA95,100,103
SA95,100,103
SA95,100,103
SA95,100,103
SA95,100,103
SA95,100,103
SA95,100,103
SA95,150,153
SA95,150,153
SA95,150,153
SA95,150,153
SA95,150,153
SA95,150,153
SA95,150,153
SA95,150,153
SA95,150,153
SA95,150,153
SA95,200,203
SA95,200,203
SA95,200,203
SA95,200,203
SA95,200,203
SA95,200,203
SA95,200,203
SA95,200,203
SA95,200,203
SA95,200,203
SA95,300,303
SA95,300,303
SA95,300,303
