GA,16.163,20
GA,17.061,50
GA,17.224,20
GA,17.388,10
GA,2.367,50
GA,24.735,10
GA,24.898,20
GA,25.224,50
GA,26.286,10
GA,27.755,10
GA,34.612,20
GA,35.837,100
GA,36.898,10
GA,37.551,100
GA,37.714,50
GA,38.531,50
GA,39.102,20
GA,44.653,100
GA,45.143,100
GA,46.694,100
GA,46.939,1000
GA,47.265,500
GA,47.347,1000
GA,47.429,1000
GA,47.429,1000
GA,47.429,500
GA,47.429,500
GA,47.429,500
RHC,19.510,50
RHC,20.735,10
RHC,22.041,20
RHC,30.122,10
RHC,30.122,20
RHC,35.102,100
RHC,41.224,10
RHC,45.633,50
RHC,46.531,10
RHC,46.531,100
RHC,46.776,20
RHC,46.939,50
RHC,47.020,10
RHC,47.102,500
RHC,47.184,100
RHC,47.265,100
RHC,47.265,1000
RHC,47.265,1000
RHC,47.265,500
RHC,47.265,500
RHC,47.347,1000
RHC,47.429,100
RHC,47.429,1000
RHC,47.429,20
RHC,47.429,20
RHC,47.429,50
RHC,47.429,50
RHC,47.429,500
RHC,47.429,500
RHC,47.510,1000
SA,0.000,10
SA,0.000,100
SA,0.000,20
SA,0.000,20
SA,0.163,100
SA,0.245,50
SA,0.408,50
SA,16.327,20
SA,16.327,20
SA,16.408,50
SA,16.490,10
SA,2.612,100
SA,26.776,10
SA,2.776,100
SA,2.857,50
SA,30.041,10
SA,3.020,100
SA,3.347,50
SA,43.918,500
SA,46.449,20
SA,46.776,500
SA,46.939,1000
SA,47.102,500
SA,47.184,1000
SA,47.184,500
SA,47.265,1000
SA,47.347,10
SA,47.429,1000
SA,47.429,500
SA,47.755,1000
