algorithm	correct	incorrect	percent-correct	train-time	test-time	iterations
GA	1108.0	2565.0	30.166	8.919	0.025	10
RHC	1616.0	2057.0	43.997	12.985	0.020	500
SA	1616.0	2057.0	43.997	13.429	0.019	500
GA	968.0	2705.0	26.354	15.612	0.033	20
SA	1616.0	2057.0	43.997	19.870	0.015	1000
RHC	1649.0	2024.0	44.895	20.542	0.010	1000
GA	1580.0	2093.0	43.017	33.333	0.014	50
GA	1591.0	2082.0	43.316	58.284	0.018	100
GA	1617.0	2056.0	44.024	211.363	0.011	500
GA	1617.0	2056.0	44.024	315.698	0.009	1000
SA	9.0	3664.0	0.245	0.861	0.061	10
RHC	93.0	3580.0	2.532	0.957	0.153	10
RHC	1616.0	2057.0	43.997	1.420	0.086	20
SA	0.0	3673.0	0.000	1.629	0.038	20
RHC	1619.0	2054.0	44.078	2.549	0.078	50
SA	0.0	3673.0	0.000	2.678	0.032	50
SA	15.0	3658.0	0.408	4.314	0.031	100
RHC	1619.0	2054.0	44.078	4.488	0.019	100
GA	825.0	2848.0	22.461	8.690	0.020	10
SA	1613.0	2060.0	43.915	12.936	0.035	500
RHC	1233.0	2440.0	33.569	14.024	0.017	500
GA	1154.0	2519.0	31.418	15.461	0.020	20
RHC	1616.0	2057.0	43.997	20.227	0.014	1000
SA	1621.0	2052.0	44.133	20.249	0.016	1000
GA	1416.0	2257.0	38.552	32.685	0.014	50
GA	1172.0	2501.0	31.909	57.641	0.013	100
GA	1616.0	2057.0	43.997	209.443	0.011	500
GA	1629.0	2044.0	44.351	313.550	0.013	1000
SA	1349.0	2324.0	36.727	0.962	0.073	10
RHC	1421.0	2252.0	38.688	1.209	0.063	10
RHC	1616.0	2057.0	43.997	1.797	0.023	20
SA	677.0	2996.0	18.432	1.750	0.066	20
SA	132.0	3541.0	3.594	3.041	0.040	50
RHC	1619.0	2054.0	44.078	3.152	0.045	50
RHC	1616.0	2057.0	43.997	4.763	0.045	100
SA	1182.0	2491.0	32.181	4.876	0.019	100
GA	818.0	2855.0	22.271	9.901	0.039	10
SA	1618.0	2055.0	44.051	13.567	0.033	500
RHC	1615.0	2058.0	43.970	13.644	0.019	500
GA	850.0	2823.0	23.142	17.449	0.020	20
RHC	1623.0	2050.0	44.187	21.049	0.020	1000
SA	1630.0	2043.0	44.378	21.272	0.015	1000
GA	1564.0	2109.0	42.581	34.962	0.015	50
GA	1617.0	2056.0	44.024	59.598	0.012	100
GA	1616.0	2057.0	43.997	214.668	0.011	500
GA	1617.0	2056.0	44.024	317.284	0.009	1000
RHC	130.0	3543.0	3.539	0.831	0.066	10
SA	115.0	3558.0	3.131	1.002	0.104	10
SA	16.0	3657.0	0.436	1.347	0.074	20
RHC	1617.0	2056.0	44.024	1.681	0.022	20
RHC	1610.0	2063.0	43.833	2.732	0.037	50
SA	1084.0	2589.0	29.513	2.744	0.043	50
RHC	1607.0	2066.0	43.752	4.287	0.020	100
SA	131.0	3542.0	3.567	4.609	0.027	100
GA	621.0	3052.0	16.907	9.447	0.021	10
RHC	1601.0	2072.0	43.588	13.418	0.020	500
SA	1624.0	2049.0	44.215	13.855	0.020	500
GA	1142.0	2531.0	31.092	16.356	0.025	20
SA	1625.0	2048.0	44.242	20.856	0.018	1000
RHC	1619.0	2054.0	44.078	20.886	0.018	1000
GA	1281.0	2392.0	34.876	34.944	0.014	50
GA	1301.0	2372.0	35.421	60.662	0.017	100
GA	1618.0	2055.0	44.051	217.862	0.013	500
GA	1618.0	2055.0	44.051	321.198	0.019	1000
SA	1617.0	2056.0	44.024	0.913	0.070	10
RHC	389.0	3284.0	10.591	0.994	0.109	10
SA	1617.0	2056.0	44.024	1.517	0.070	20
RHC	482.0	3191.0	13.123	1.653	0.023	20
SA	131.0	3542.0	3.567	2.648	0.046	50
RHC	1510.0	2163.0	41.111	2.819	0.050	50
RHC	1533.0	2140.0	41.737	4.409	0.023	100
SA	1.0	3672.0	0.027	4.584	0.041	100
GA	1006.0	2667.0	27.389	8.651	0.021	10
RHC	1604.0	2069.0	43.670	13.286	0.020	500
SA	1613.0	2060.0	43.915	13.864	0.024	500
GA	1333.0	2340.0	36.292	15.765	0.021	20
RHC	1604.0	2069.0	43.670	20.399	0.020	1000
SA	1614.0	2059.0	43.942	20.857	0.016	1000
GA	1190.0	2483.0	32.399	32.245	0.016	50
GA	1560.0	2113.0	42.472	56.651	0.012	100
GA	1604.0	2069.0	43.670	208.912	0.011	500
GA	1617.0	2056.0	44.024	314.541	0.009	1000
