percent-correct,iterations
65.633,5
65.633,5
65.633,5
66.531,10
65.959,10
65.388,10
74.122,20
63.755,20
69.061,20
73.143,30
67.265,30
74.204,30
64.082,40
65.796,40
66.776,40
74.286,50
74.449,50
61.633,100
71.102,100
75.102,200
65.224,200
70.531,500
62.449,500
75.265,1000
73.388,1000
68.163,1500
77.061,1500
