percent-correct,iterations
47.592,50
48.327,50
46.531,50
47.429,50
47.265,100
47.755,100
46.612,100
48.735,100
48.327,200
45.388,200
46.939,200
48.163,200
46.694,500
48.000,500
48.327,500
48.898,500
40.000,50
47.265,50
40.816,50
46.286,50
47.429,100
47.429,100
47.592,100
47.020,100
47.102,200
47.020,200
47.184,200
46.857,200
47.020,500
47.347,500
47.347,500
47.347,500
