4.0
13.0
13.0
13.0
13.0
13.0
13.0
13.0
13.0
13.0
13.0
13.0
13.0
13.0
13.0
13.0
13.0
13.0
13.0
13.0
13.0
13.0
13.0
13.0
13.0
13.0

Problem: four_peaks
Algorithm: RHC
Time Elapse: 0.0
Optimal Value: 13.0
Total function call: 28
