4.0
7.0
9.0
47.0
48.0
49.0
52.0
57.0
57.0
57.0
57.0
57.0
57.0
57.0
57.0
57.0
57.0
57.0
57.0
57.0
57.0
57.0
57.0
57.0
57.0
57.0

Problem: four_peaks
Algorithm: MIMIC
Time Elapse: 10435.0
Optimal Value: 58.0
Total function call: 5401
