algorithm,iterations,time
GA,5,8.081
GA,5,8.090
GA,5,8.535
GA,10,12.639
GA,10,13.013
GA,10,13.316
GA,20,24.064
GA,20,24.940
GA,20,25.151
GA,30,34.379
GA,30,34.424
GA,30,35.860
GA,40,41.910
GA,40,42.211
GA,40,42.892
GA,50,48.351
GA,50,50.721
GA,100,80.078
GA,100,82.534
GA,200,125.443
GA,200,125.612
GA,500,204.948
GA,500,205.386
GA,1000,312.770
GA,1000,313.715
GA,1500,386.664
GA,1500,386.969
RHC,5,1.217
RHC,5,1.528
RHC,5,2.776
RHC,10,2.966
RHC,10,4.312
RHC,10,5.152
RHC,20,10.256
RHC,20,9.107
RHC,20,9.132
RHC,30,11.203
RHC,30,12.686
RHC,30,13.413
RHC,40,18.823
RHC,40,18.894
RHC,40,19.603
RHC,50,18.853
RHC,50,19.371
RHC,100,31.034
RHC,100,31.179
RHC,200,47.116
RHC,200,47.403
RHC,500,71.158
RHC,500,72.745
RHC,1000,96.797
RHC,1000,98.609
RHC,1500,115.993
RHC,1500,116.297
SA,5,1.718
SA,5,1.872
SA,5,2.574
SA,10,3.012
SA,10,3.990
SA,10,4.804
SA,20,10.620
SA,20,10.661
SA,20,12.936
SA,30,12.681
SA,30,13.661
SA,30,16.149
SA,40,18.140
SA,40,18.907
SA,40,19.887
SA,50,18.903
SA,50,20.367
SA,100,31.020
SA,100,32.380
SA,200,45.408
SA,200,45.515
SA,500,70.304
SA,500,70.723
SA,1000,97.593
SA,1000,97.863
SA,1500,115.319
SA,1500,116.856
Backprop,5,1.388
Backprop,5,1.778
Backprop,5,2.446
Backprop,10,2.806
Backprop,10,3.183
Backprop,10,4.593
Backprop,20,10.051
Backprop,20,12.117
Backprop,20,7.851
Backprop,30,13.552
Backprop,30,13.980
Backprop,30,15.362
Backprop,40,16.622
Backprop,40,17.793
Backprop,40,18.749
Backprop,50,20.443
Backprop,50,21.235
Backprop,100,32.439
Backprop,100,33.547
Backprop,200,48.513
Backprop,200,48.786
Backprop,500,76.512
Backprop,500,78.092
Backprop,1000,108.234
Backprop,1000,108.706
Backprop,1500,125.371
Backprop,1500,126.551
