34.0,3639.0,0.926,0.837,0.139,10
0.0,3673.0,0.000,1.602,0.076,25
0.0,3673.0,0.000,3.049,0.038,50
33.0,3640.0,0.898,4.414,0.035,100
2.0,3671.0,0.054,7.180,0.019,200
1571.0,2102.0,42.772,11.508,0.019,500
