4.0
7.0
9.0
12.0
19.0
71.0
71.0
71.0
71.0
74.0
74.0
74.0
74.0
74.0
74.0
74.0
74.0
74.0
74.0
74.0
74.0
74.0
74.0
74.0
74.0
74.0

Problem: four_peaks
Algorithm: MIMIC
Time Elapse: 12193.0
Optimal Value: 74.0
Total function call: 5401
