1.485
2.885
3.775
4.985
5.96
6.7
7.495
7.915
8.28
8.65
8.69
8.795
8.785
8.84
8.88
8.93
8.985
8.95
8.9
8.875
8.97
9.025
9.04
9.045
8.995
9.05

Problem: four_peaks
Algorithm: GA
Time Elapse: 7.0
Optimal Value: 10.0
Total function call: 2933
