algorithm,iterations,time
GALowPop,600,4066.0
GALowPop,600,4373.0
GALowPop,600,4757.0
GALowPop,600,5261.0
GALowPop,700,1254.0
GALowPop,700,1427.0
GALowPop,700,3086.0
GALowPop,700,4545.0
GALowPop,700,4621.0
GALowPop,700,5099.0
GALowPop,700,5127.0
GALowPop,700,5333.0
GALowPop,700,5345.0
GALowPop,700,6078.0
GALowPop,800,3373.0
GALowPop,800,3432.0
GALowPop,800,3515.0
GALowPop,800,3732.0
GALowPop,800,4999.0
GALowPop,800,5671.0
GALowPop,800,5699.0
GALowPop,800,5913.0
GALowPop,800,6464.0
GALowPop,800,768.0
GALowPop,900,1387.0
GALowPop,900,3563.0
GALowPop,900,3587.0
GALowPop,900,3819.0
GALowPop,900,6033.0
GALowPop,900,6475.0
GALowPop,900,6531.0
GALowPop,900,679.0
GALowPop,900,6873.0
GALowPop,900,8674.0
GALowPop,1000,2397.0
GALowPop,1000,3534.0
GALowPop,1000,4288.0
GALowPop,1000,4383.0
GALowPop,1000,4705.0
GALowPop,1000,4965.0
GALowPop,1000,6128.0
GALowPop,1000,6144.0
GALowPop,1000,7408.0
GALowPop,1000,8016.0
GALowPop,2000,10649.0
GALowPop,2000,11315.0
GALowPop,2000,11968.0
GALowPop,2000,12974.0
GALowPop,2000,15756.0
GALowPop,2000,4080.0
GALowPop,2000,6864.0
GALowPop,2000,7163.0
GALowPop,2000,9188.0
GALowPop,2000,9380.0
GALowPop,2500,10019.0
GALowPop,2500,10137.0
GALowPop,2500,11021.0
GALowPop,2500,12438.0
GALowPop,2500,12572.0
GALowPop,2500,12852.0
GALowPop,2500,13885.0
GALowPop,2500,15874.0
GALowPop,2500,16385.0
GALowPop,2500,7713.0
RHC,1,11.0
RHC,1,12.0
RHC,1,12.0
RHC,1,12.0
RHC,1,14.0
RHC,1,19.0
RHC,1,57.0
RHC,1,71.0
RHC,1,8.0
RHC,1,9.0
RHC,50,15.0
RHC,50,26.0
RHC,50,35.0
RHC,50,46.0
RHC,50,49.0
RHC,50,57.0
RHC,50,62.0
RHC,50,68.0
RHC,50,86.0
RHC,50,87.0
RHC,100,19.0
RHC,100,19.0
RHC,100,21.0
RHC,100,32.0
RHC,100,57.0
RHC,100,58.0
RHC,100,75.0
RHC,100,77.0
RHC,100,85.0
RHC,100,92.0
RHC,150,37.0
RHC,150,39.0
RHC,150,45.0
RHC,150,60.0
RHC,150,64.0
RHC,150,69.0
RHC,150,73.0
RHC,150,78.0
RHC,150,80.0
RHC,150,90.0
RHC,200,15.0
RHC,200,15.0
RHC,200,20.0
RHC,200,21.0
RHC,200,26.0
RHC,200,33.0
RHC,200,35.0
RHC,200,39.0
RHC,200,7.0
RHC,200,75.0
RHC,300,13.0
RHC,300,13.0
RHC,300,14.0
RHC,300,14.0
RHC,300,14.0
RHC,300,15.0
RHC,300,18.0
RHC,300,18.0
RHC,300,19.0
RHC,300,67.0
RHC,400,14.0
RHC,400,15.0
RHC,400,2.0
RHC,400,21.0
RHC,400,21.0
RHC,400,22.0
RHC,400,25.0
RHC,400,26.0
RHC,400,33.0
RHC,400,9.0
RHC,500,11.0
RHC,500,2.0
RHC,500,2.0
RHC,500,2.0
RHC,500,22.0
RHC,500,26.0
RHC,500,29.0
RHC,500,29.0
RHC,500,3.0
RHC,500,4.0
RHC,600,20.0
RHC,600,3.0
RHC,600,3.0
RHC,600,3.0
RHC,600,332.0
RHC,600,4.0
RHC,600,4.0
RHC,600,4.0
RHC,600,56.0
RHC,600,9.0
RHC,700,179.0
RHC,700,20.0
RHC,700,291.0
RHC,700,351.0
RHC,700,431.0
RHC,700,44.0
RHC,700,5.0
RHC,700,6.0
RHC,700,613.0
RHC,700,93.0
RHC,800,10.0
RHC,800,12.0
RHC,800,27.0
RHC,800,32.0
RHC,800,321.0
RHC,800,396.0
RHC,800,55.0
RHC,800,55.0
RHC,800,68.0
RHC,800,7.0
RHC,900,112.0
RHC,900,199.0
RHC,900,213.0
RHC,900,222.0
RHC,900,244.0
RHC,900,245.0
RHC,900,271.0
RHC,900,308.0
RHC,900,466.0
RHC,900,600.0
RHC,1000,127.0
RHC,1000,135.0
RHC,1000,171.0
RHC,1000,195.0
RHC,1000,261.0
RHC,1000,270.0
RHC,1000,315.0
RHC,1000,385.0
RHC,1000,577.0
RHC,1000,595.0
RHC,2000,304.0
RHC,2000,384.0
RHC,2000,429.0
RHC,2000,436.0
RHC,2000,461.0
RHC,2000,464.0
RHC,2000,485.0
RHC,2000,507.0
RHC,2000,510.0
RHC,2000,531.0
RHC,2500,207.0
RHC,2500,231.0
RHC,2500,50.0
RHC,2500,502.0
RHC,2500,511.0
RHC,2500,525.0
RHC,2500,571.0
RHC,2500,632.0
RHC,2500,633.0
RHC,2500,653.0
SA55,1,0.0
SA55,1,0.0
SA55,1,0.0
SA55,1,0.0
SA55,1,0.0
SA55,1,0.0
SA55,1,0.0
SA55,1,0.0
SA55,1,0.0
SA55,1,0.0
SA55,50,0.0
SA55,50,0.0
SA55,50,0.0
SA55,50,0.0
SA55,50,0.0
SA55,50,0.0
SA55,50,0.0
SA55,50,0.0
SA55,50,0.0
SA55,50,1.0
SA55,100,0.0
SA55,100,0.0
SA55,100,0.0
SA55,100,0.0
SA55,100,0.0
SA55,100,0.0
SA55,100,0.0
SA55,100,1.0
SA55,100,1.0
SA55,100,1.0
SA55,150,0.0
SA55,150,0.0
SA55,150,0.0
SA55,150,1.0
SA55,150,1.0
SA55,150,1.0
SA55,150,1.0
SA55,150,1.0
SA55,150,2.0
SA55,150,7.0
SA55,200,0.0
SA55,200,1.0
SA55,200,1.0
SA55,200,1.0
SA55,200,1.0
SA55,200,1.0
SA55,200,1.0
SA55,200,1.0
SA55,200,1.0
SA55,200,1.0
SA55,300,1.0
SA55,300,1.0
SA55,300,107.0
SA55,300,11.0
SA55,300,2.0
SA55,300,2.0
SA55,300,26.0
SA55,300,44.0
SA55,300,6.0
SA55,300,73.0
SA55,400,103.0
SA55,400,106.0
SA55,400,111.0
SA55,400,118.0
SA55,400,2.0
SA55,400,2.0
SA55,400,48.0
SA55,400,5.0
SA55,400,78.0
SA55,400,85.0
SA55,500,115.0
SA55,500,27.0
SA55,500,33.0
SA55,500,47.0
SA55,500,56.0
SA55,500,59.0
SA55,500,65.0
SA55,500,66.0
SA55,500,85.0
SA55,500,94.0
SA55,600,152.0
SA55,600,161.0
SA55,600,162.0
SA55,600,170.0
SA55,600,179.0
SA55,600,35.0
SA55,600,4.0
SA55,600,46.0
SA55,600,74.0
SA55,600,85.0
SA55,700,117.0
SA55,700,120.0
SA55,700,137.0
SA55,700,198.0
SA55,700,219.0
SA55,700,65.0
SA55,700,69.0
SA55,700,73.0
SA55,700,97.0
SA55,700,99.0
SA55,800,111.0
SA55,800,158.0
SA55,800,162.0
SA55,800,47.0
SA55,800,59.0
SA55,800,6.0
SA55,800,64.0
SA55,800,69.0
SA55,800,71.0
SA55,800,72.0
SA55,900,107.0
SA55,900,119.0
SA55,900,146.0
SA55,900,156.0
SA55,900,224.0
SA55,900,288.0
SA55,900,290.0
SA55,900,53.0
SA55,900,69.0
SA55,900,74.0
SA55,1000,10.0
SA55,1000,11.0
SA55,1000,12.0
SA55,1000,12.0
SA55,1000,12.0
SA55,1000,14.0
SA55,1000,16.0
SA55,1000,170.0
SA55,1000,25.0
SA55,1000,33.0
SA55,2000,151.0
SA55,2000,161.0
SA55,2000,258.0
SA55,2000,262.0
SA55,2000,264.0
SA55,2000,276.0
SA55,2000,281.0
SA55,2000,306.0
SA55,2000,31.0
SA55,2000,327.0
SA55,2500,117.0
SA55,2500,147.0
SA55,2500,218.0
SA55,2500,278.0
SA55,2500,280.0
SA55,2500,286.0
SA55,2500,286.0
SA55,2500,289.0
