percent-correct,iterations
48.163,5
64.000,5
65.551,5
64.735,10
63.755,10
44.735,10
58.612,20
62.449,20
64.000,20
64.735,30
62.041,30
54.939,30
55.510,40
65.633,40
65.633,40
63.265,50
59.755,50
58.857,100
63.102,100
65.633,200
65.633,200
65.633,500
65.633,500
65.633,1000
65.633,1000
65.633,1500
65.633,1500
