algorithm,iterations,optimal
GALowPop,1000,87.0
GALowPop,1000,88.0
GALowPop,1000,88.0
GALowPop,1000,89.0
GALowPop,1000,89.0
GALowPop,1000,90.0
GALowPop,1000,93.0
RHC,1,40.0
RHC,1,46.0
RHC,1,47.0
RHC,1,51.0
RHC,1,52.0
RHC,1,53.0
RHC,1,53.0
RHC,1,54.0
RHC,1,54.0
RHC,1,58.0
RHC,50,55.0
RHC,50,56.0
RHC,50,58.0
RHC,50,59.0
RHC,50,61.0
RHC,50,64.0
RHC,50,65.0
RHC,50,67.0
RHC,50,68.0
RHC,50,68.0
RHC,100,63.0
RHC,100,65.0
RHC,100,67.0
RHC,100,68.0
RHC,100,68.0
RHC,100,69.0
RHC,100,70.0
RHC,100,70.0
RHC,100,71.0
RHC,100,72.0
RHC,150,68.0
RHC,150,77.0
RHC,150,78.0
RHC,150,79.0
RHC,150,79.0
RHC,150,79.0
RHC,150,80.0
RHC,150,80.0
RHC,150,81.0
RHC,150,82.0
RHC,200,78.0
RHC,200,78.0
RHC,200,79.0
RHC,200,80.0
RHC,200,80.0
RHC,200,81.0
RHC,200,81.0
RHC,200,82.0
RHC,200,84.0
RHC,200,85.0
RHC,300,83.0
RHC,300,87.0
RHC,300,90.0
RHC,300,90.0
RHC,300,90.0
RHC,300,91.0
RHC,300,92.0
RHC,300,92.0
RHC,300,93.0
RHC,300,94.0
RHC,400,92.0
RHC,400,93.0
RHC,400,93.0
RHC,400,93.0
RHC,400,93.0
RHC,400,93.0
RHC,400,94.0
RHC,400,95.0
RHC,400,95.0
RHC,400,96.0
RHC,500,100.0
RHC,500,93.0
RHC,500,96.0
RHC,500,96.0
RHC,500,96.0
RHC,500,96.0
RHC,500,96.0
RHC,500,97.0
RHC,500,98.0
RHC,500,99.0
RHC,600,95.0
RHC,600,95.0
RHC,600,97.0
RHC,600,97.0
RHC,600,98.0
RHC,600,98.0
RHC,600,98.0
RHC,600,98.0
RHC,600,98.0
RHC,600,99.0
RHC,700,100.0
RHC,700,100.0
RHC,700,100.0
RHC,700,100.0
RHC,700,97.0
RHC,700,98.0
RHC,700,99.0
RHC,700,99.0
RHC,700,99.0
RHC,700,99.0
RHC,800,100.0
RHC,800,100.0
RHC,800,100.0
RHC,800,98.0
RHC,800,98.0
RHC,800,98.0
RHC,800,98.0
RHC,800,99.0
RHC,800,99.0
RHC,800,99.0
RHC,900,100.0
RHC,900,100.0
RHC,900,100.0
RHC,900,100.0
RHC,900,100.0
RHC,900,97.0
RHC,900,98.0
RHC,900,98.0
RHC,900,99.0
RHC,900,99.0
RHC,1000,100.0
RHC,1000,100.0
RHC,1000,100.0
RHC,1000,100.0
RHC,1000,100.0
RHC,1000,100.0
RHC,1000,98.0
RHC,1000,99.0
RHC,1000,99.0
RHC,1000,99.0
SA55,1,40.0
SA55,1,43.0
SA55,1,44.0
SA55,1,47.0
SA55,1,48.0
SA55,1,48.0
SA55,1,49.0
SA55,1,50.0
SA55,1,52.0
SA55,1,53.0
SA55,50,45.0
SA55,50,48.0
SA55,50,49.0
SA55,50,49.0
SA55,50,50.0
SA55,50,50.0
SA55,50,53.0
SA55,50,53.0
SA55,50,53.0
SA55,50,55.0
SA55,100,57.0
SA55,100,57.0
SA55,100,61.0
SA55,100,62.0
SA55,100,62.0
SA55,100,63.0
SA55,100,63.0
SA55,100,64.0
SA55,100,64.0
SA55,100,65.0
SA55,150,65.0
SA55,150,67.0
SA55,150,67.0
SA55,150,68.0
SA55,150,69.0
SA55,150,71.0
SA55,150,72.0
SA55,150,72.0
SA55,150,76.0
SA55,150,76.0
SA55,200,71.0
SA55,200,73.0
SA55,200,75.0
SA55,200,75.0
SA55,200,75.0
SA55,200,78.0
SA55,200,79.0
SA55,200,80.0
SA55,200,81.0
SA55,200,83.0
SA55,300,82.0
SA55,300,83.0
SA55,300,84.0
SA55,300,84.0
SA55,300,89.0
SA55,300,90.0
SA55,300,92.0
SA55,300,92.0
SA55,300,93.0
SA55,300,94.0
SA55,400,86.0
SA55,400,89.0
SA55,400,89.0
SA55,400,89.0
SA55,400,90.0
SA55,400,92.0
SA55,400,92.0
SA55,400,92.0
SA55,400,93.0
SA55,400,97.0
SA55,500,90.0
SA55,500,92.0
SA55,500,94.0
SA55,500,95.0
SA55,500,95.0
SA55,500,95.0
SA55,500,96.0
SA55,500,96.0
SA55,500,96.0
SA55,500,96.0
SA55,600,94.0
SA55,600,95.0
SA55,600,96.0
SA55,600,96.0
SA55,600,97.0
SA55,600,97.0
SA55,600,98.0
SA55,600,98.0
SA55,600,99.0
SA55,600,99.0
SA55,700,100.0
SA55,700,100.0
SA55,700,95.0
SA55,700,96.0
SA55,700,98.0
SA55,700,98.0
SA55,700,98.0
SA55,700,99.0
SA55,700,99.0
SA55,700,99.0
SA55,800,100.0
SA55,800,100.0
SA55,800,96.0
SA55,800,98.0
SA55,800,98.0
SA55,800,98.0
SA55,800,99.0
SA55,800,99.0
SA55,800,99.0
SA55,800,99.0
SA55,900,100.0
SA55,900,100.0
SA55,900,100.0
SA55,900,100.0
SA55,900,99.0
SA55,900,99.0
SA55,900,99.0
SA55,900,99.0
SA55,900,99.0
SA55,900,99.0
SA55,1000,100.0
SA55,1000,100.0
SA55,1000,100.0
SA55,1000,100.0
SA55,1000,100.0
SA55,1000,100.0
SA55,1000,100.0
SA55,1000,99.0
SA55,1000,99.0
SA55,1000,99.0
SA75,1,45.0
SA75,1,49.0
SA75,1,53.0
SA75,1,54.0
SA75,1,54.0
SA75,1,54.0
SA75,1,55.0
SA75,1,55.0
SA75,1,55.0
SA75,1,56.0
SA75,50,44.0
SA75,50,44.0
SA75,50,45.0
SA75,50,46.0
SA75,50,48.0
SA75,50,49.0
SA75,50,49.0
SA75,50,51.0
SA75,50,52.0
SA75,50,61.0
SA75,100,41.0
SA75,100,51.0
SA75,100,51.0
SA75,100,51.0
SA75,100,51.0
SA75,100,52.0
SA75,100,54.0
SA75,100,57.0
SA75,100,59.0
SA75,100,60.0
SA75,150,56.0
SA75,150,57.0
SA75,150,57.0
SA75,150,61.0
SA75,150,62.0
SA75,150,65.0
SA75,150,66.0
SA75,150,66.0
SA75,150,70.0
SA75,150,72.0
SA75,200,60.0
SA75,200,67.0
SA75,200,71.0
SA75,200,71.0
SA75,200,72.0
SA75,200,73.0
SA75,200,73.0
SA75,200,75.0
SA75,200,79.0
SA75,200,80.0
SA75,300,74.0
SA75,300,78.0
SA75,300,78.0
SA75,300,79.0
SA75,300,83.0
SA75,300,83.0
SA75,300,85.0
SA75,300,86.0
SA75,300,87.0
SA75,300,88.0
SA75,400,85.0
SA75,400,88.0
SA75,400,88.0
SA75,400,88.0
SA75,400,89.0
SA75,400,90.0
SA75,400,90.0
SA75,400,92.0
SA75,400,92.0
SA75,400,93.0
SA75,500,90.0
SA75,500,91.0
SA75,500,93.0
SA75,500,93.0
SA75,500,94.0
SA75,500,94.0
SA75,500,94.0
SA75,500,96.0
SA75,500,98.0
SA75,500,98.0
SA75,600,90.0
SA75,600,93.0
SA75,600,94.0
SA75,600,95.0
SA75,600,95.0
SA75,600,96.0
SA75,600,96.0
SA75,600,99.0
SA75,600,99.0
SA75,600,99.0
SA75,700,95.0
SA75,700,96.0
SA75,700,97.0
SA75,700,97.0
SA75,700,97.0
SA75,700,97.0
SA75,700,98.0
SA75,700,99.0
SA75,700,99.0
SA75,700,99.0
SA75,800,96.0
SA75,800,97.0
SA75,800,97.0
SA75,800,98.0
SA75,800,98.0
SA75,800,98.0
SA75,800,98.0
SA75,800,98.0
SA75,800,99.0
SA75,800,99.0
SA75,900,100.0
SA75,900,100.0
SA75,900,100.0
SA75,900,100.0
SA75,900,98.0
SA75,900,98.0
SA75,900,98.0
SA75,900,98.0
SA75,900,99.0
SA75,900,99.0
SA75,1000,100.0
SA75,1000,100.0
SA75,1000,100.0
SA75,1000,97.0
SA75,1000,98.0
SA75,1000,99.0
SA75,1000,99.0
SA75,1000,99.0
SA75,1000,99.0
SA75,1000,99.0
SA95,1,41.0
SA95,1,44.0
SA95,1,46.0
SA95,1,47.0
SA95,1,48.0
SA95,1,49.0
SA95,1,50.0
SA95,1,52.0
SA95,1,53.0
SA95,1,58.0
SA95,50,44.0
SA95,50,46.0
SA95,50,46.0
SA95,50,47.0
SA95,50,48.0
SA95,50,51.0
SA95,50,52.0
SA95,50,53.0
SA95,50,54.0
SA95,50,55.0
SA95,100,44.0
SA95,100,47.0
SA95,100,47.0
SA95,100,50.0
SA95,100,50.0
SA95,100,52.0
SA95,100,53.0
SA95,100,54.0
SA95,100,55.0
SA95,100,56.0
SA95,150,44.0
SA95,150,48.0
SA95,150,50.0
SA95,150,51.0
SA95,150,51.0
SA95,150,51.0
SA95,150,51.0
SA95,150,51.0
SA95,150,53.0
SA95,150,57.0
SA95,200,45.0
SA95,200,46.0
SA95,200,46.0
SA95,200,47.0
SA95,200,49.0
SA95,200,51.0
SA95,200,52.0
SA95,200,53.0
SA95,200,54.0
SA95,200,55.0
SA95,300,44.0
SA95,300,47.0
SA95,300,47.0
SA95,300,47.0
SA95,300,51.0
SA95,300,52.0
SA95,300,53.0
SA95,300,53.0
SA95,300,59.0
SA95,300,63.0
SA95,400,41.0
SA95,400,49.0
SA95,400,50.0
SA95,400,52.0
SA95,400,52.0
SA95,400,53.0
SA95,400,53.0
SA95,400,53.0
SA95,400,54.0
SA95,400,59.0
SA95,500,50.0
SA95,500,52.0
SA95,500,55.0
SA95,500,56.0
SA95,500,56.0
SA95,500,58.0
SA95,500,58.0
SA95,500,60.0
SA95,500,61.0
SA95,500,63.0
SA95,600,68.0
SA95,600,68.0
SA95,600,70.0
SA95,600,72.0
SA95,600,73.0
SA95,600,75.0
SA95,600,76.0
SA95,600,77.0
SA95,600,78.0
SA95,600,81.0
SA95,700,78.0
SA95,700,79.0
SA95,700,81.0
SA95,700,81.0
SA95,700,82.0
SA95,700,82.0
SA95,700,87.0
SA95,700,88.0
SA95,700,90.0
SA95,700,90.0
SA95,800,81.0
SA95,800,87.0
SA95,800,88.0
SA95,800,90.0
SA95,800,91.0
SA95,800,92.0
SA95,800,92.0
SA95,800,93.0
SA95,800,94.0
SA95,800,94.0
SA95,900,88.0
SA95,900,92.0
SA95,900,93.0
SA95,900,93.0
SA95,900,93.0
SA95,900,94.0
SA95,900,95.0
SA95,900,97.0
SA95,900,97.0
SA95,900,97.0
SA95,1000,96.0
SA95,1000,96.0
SA95,1000,96.0
SA95,1000,96.0
SA95,1000,96.0
SA95,1000,96.0
SA95,1000,97.0
SA95,1000,97.0
SA95,1000,97.0
SA95,1000,98.0
MIMIC50,1,65.0
MIMIC50,1,65.0
MIMIC50,1,65.0
MIMIC50,1,65.0
MIMIC50,1,65.0
MIMIC50,1,67.0
MIMIC50,1,67.0
MIMIC50,1,68.0
MIMIC50,1,69.0
MIMIC50,1,70.0
MIMIC50,50,93.0
MIMIC50,50,94.0
MIMIC50,50,95.0
MIMIC50,50,95.0
MIMIC50,50,95.0
MIMIC50,50,95.0
MIMIC50,50,96.0
MIMIC50,50,96.0
MIMIC50,50,96.0
MIMIC50,50,98.0
MIMIC50,100,100.0
MIMIC50,100,100.0
MIMIC50,100,96.0
MIMIC50,100,96.0
MIMIC50,100,97.0
MIMIC50,100,97.0
MIMIC50,100,97.0
MIMIC50,100,99.0
MIMIC50,100,99.0
MIMIC50,100,99.0
MIMIC50,150,100.0
MIMIC50,150,100.0
MIMIC50,150,97.0
MIMIC50,150,98.0
MIMIC50,150,98.0
MIMIC50,150,99.0
MIMIC50,150,99.0
MIMIC50,150,99.0
MIMIC50,150,99.0
MIMIC50,150,99.0
MIMIC50,200,100.0
MIMIC50,200,100.0
MIMIC50,200,100.0
MIMIC50,200,100.0
MIMIC50,200,100.0
MIMIC50,200,100.0
MIMIC50,200,100.0
MIMIC50,200,100.0
MIMIC50,200,99.0
MIMIC50,200,99.0
MIMIC50,300,100.0
MIMIC50,300,100.0
MIMIC50,300,100.0
MIMIC50,300,100.0
MIMIC50,300,100.0
MIMIC50,300,100.0
MIMIC50,300,100.0
MIMIC50,300,100.0
MIMIC50,300,100.0
MIMIC50,300,100.0
MIMIC50,400,100.0
MIMIC50,400,100.0
MIMIC50,400,100.0
MIMIC50,400,100.0
