algorithm,value,iterations
RHC-N,100,500
RHC-N,60,1000
RHC-N,80,500
RHC-N,40,1000
RHC-N,40,500
RHC-N,100,500
RHC-N,40,1000
RHC-N,40,500
RHC-N,60,1000
RHC-N,80,500
RHC-N,80,500
RHC-N,100,1000
RHC-N,60,1000
RHC-N,100,500
RHC-N,100,1000
RHC-N,40,500
RHC-N,80,1000
RHC-N,40,1000
RHC-N,20,5000
RHC-N,40,1000
RHC-N,100,500
RHC-N,60,1000
RHC-N,80,1000
RHC-N,40,1000
RHC-N,80,1000
RHC-N,80,1000
RHC-N,80,1000
RHC-N,80,500
RHC-N,60,500
RHC-N,100,1000
RHC-N,60,1000
RHC-N,40,1000
RHC-N,60,5000
RHC-N,100,1000
RHC-N,80,1000
RHC-N,80,1000
RHC-N,20,5000
RHC-N,20,5000
RHC-N,60,5000
RHC-N,60,5000
RHC-N,40,5000
RHC-N,20,5000
RHC-N,80,5000
RHC-N,80,5000
RHC-N,40,5000
RHC-N,20,5000
RHC-N,60,5000
RHC-N,100,5000
RHC-N,40,5000
RHC-N,80,5000
RHC-N,40,5000
RHC-N,100,5000
RHC-N,100,5000
RHC-N,80,5000
RHC-N,60,5000
RHC-N,100,5000
RHC-N,40,5000
RHC-N,60,5000
RHC-N,20,5000
RHC-N,20,5000
RHC-N,100,5000
RHC-N,40,5000
RHC-N,100,5000
RHC-N,40,5000
RHC-N,100,5000
RHC-N,100,5000
RHC-N,60,5000
RHC-N,100,5000
RHC-N,80,5000
RHC-N,20,5000
RHC-N,60,5000
RHC-N,60,5000
RHC-N,40,5000
RHC-N,80,5000
RHC-N,80,5000
RHC-N,100,5000
RHC-N,80,5000
RHC-N,20,5000
RHC-N,40,5000
RHC-N,40,5000
RHC-N,80,5000
RHC-N,60,5000
RHC-N,20,5000
RHC-N,80,5000
RHC-Optimal,2.0,25
RHC-Optimal,0.0,10
RHC-Optimal,3.0,10
RHC-Optimal,0.0,25
RHC-Optimal,6.0,50
RHC-Optimal,0.0,25
RHC-Optimal,1.0,10
RHC-Optimal,0.0,25
RHC-Optimal,0.0,10
RHC-Optimal,6.0,100
RHC-Optimal,2.0,50
RHC-Optimal,15.0,200
RHC-Optimal,6.0,25
RHC-Optimal,7.0,100
RHC-Optimal,37.0,200
RHC-Optimal,2.0,50
RHC-Optimal,1.0,50
RHC-Optimal,8.0,100
RHC-Optimal,27.0,100
RHC-Optimal,4.0,100
RHC-Optimal,20.0,500
RHC-Optimal,4.0,10
RHC-Optimal,4.0,50
RHC-Optimal,37.0,500
RHC-Optimal,8.0,10
RHC-Optimal,2.0,25
RHC-Optimal,37.0,500
RHC-Optimal,8.0,200
RHC-Optimal,4.0,10
RHC-Optimal,12.0,200
RHC-Optimal,35.0,200
RHC-Optimal,15.0,200
RHC-Optimal,29.0,100
RHC-Optimal,37.0,500
RHC-Optimal,20.0,200
RHC-Optimal,10.0,200
RHC-Optimal,26.0,10
RHC-Optimal,2.0,100
RHC-Optimal,28.0,50
RHC-Optimal,37.0,500
RHC-Optimal,7.0,100
RHC-Optimal,2.0,10
RHC-Optimal,8.0,200
RHC-Optimal,1.0,25
RHC-Optimal,0.0,10
RHC-Optimal,9.0,100
RHC-Optimal,4.0,100
RHC-Optimal,1.0,25
RHC-Optimal,14.0,200
RHC-Optimal,1.0,50
RHC-Optimal,1.0,25
RHC-Optimal,20.0,500
RHC-Optimal,5.0,25
RHC-Optimal,37.0,500
RHC-Optimal,1.0,50
RHC-Optimal,27.0,50
RHC-Optimal,20.0,500
RHC-Optimal,37.0,500
RHC-Optimal,6.0,50
RHC-Optimal,20.0,1000
RHC-Optimal,20.0,1000
RHC-Optimal,20.0,1000
RHC-Optimal,20.0,1000
RHC-Optimal,20.0,1000
RHC-Optimal,20.0,500
RHC-Optimal,20.0,1000
RHC-Optimal,37.0,1000
RHC-Optimal,1.0,10
RHC-Optimal,37.0,1000
RHC-Optimal,37.0,1000
RHC-Optimal,2.0,10
RHC-Optimal,2.0,10
RHC-Optimal,1.0,25
RHC-Optimal,0.0,10
RHC-Optimal,4.0,10
RHC-Optimal,1.0,10
RHC-Optimal,3.0,10
RHC-Optimal,5.0,10
RHC-Optimal,2.0,10
RHC-Optimal,6.0,10
RHC-Optimal,19.0,1000
RHC-Optimal,0.0,25
RHC-Optimal,8.0,500
RHC-Optimal,6.0,500
RHC-Optimal,3.0,10
RHC-Optimal,2.0,10
RHC-Optimal,10.0,500
RHC-Optimal,5.0,25
RHC-Optimal,1.0,25
RHC-Optimal,0.0,10
RHC-Optimal,2.0,50
RHC-Optimal,1.0,50
RHC-Optimal,2.0,10
RHC-Optimal,1.0,50
RHC-Optimal,3.0,50
RHC-Optimal,5.0,50
RHC-Optimal,2.0,25
RHC-Optimal,4.0,100
RHC-Optimal,4.0,100
RHC-Optimal,2.0,100
RHC-Optimal,3.0,50
RHC-Optimal,1.0,50
RHC-Optimal,1.0,25
RHC-Optimal,2.0,25
RHC-Optimal,4.0,25
RHC-Optimal,1.0,50
RHC-Optimal,5.0,10
RHC-Optimal,4.0,100
RHC-Optimal,3.0,200
RHC-Optimal,3.0,100
RHC-Optimal,3.0,50
RHC-Optimal,3.0,100
RHC-Optimal,48.0,100
RHC-Optimal,2.0,100
RHC-Optimal,6.0,200
RHC-Optimal,11.0,200
RHC-Optimal,8.0,25
RHC-Optimal,2.0,100
RHC-Optimal,5.0,50
RHC-Optimal,1.0,100
RHC-Optimal,1.0,50
RHC-Optimal,5.0,50
RHC-Optimal,0.0,50
RHC-Optimal,1.0,50
RHC-Optimal,2.0,100
RHC-Optimal,3.0,100
RHC-Optimal,6.0,50
RHC-Optimal,3.0,100
RHC-Optimal,0.0,25
RHC-Optimal,1.0,25
RHC-Optimal,4.0,25
RHC-Optimal,0.0,10
RHC-Optimal,6.0,200
RHC-Optimal,0.0,25
RHC-Optimal,1.0,25
RHC-Optimal,7.0,200
RHC-Optimal,8.0,100
RHC-Optimal,3.0,10
RHC-Optimal,6.0,100
RHC-Optimal,5.0,200
RHC-Optimal,3.0,50
RHC-Optimal,3.0,50
RHC-Optimal,2.0,50
RHC-Optimal,1.0,50
RHC-Optimal,1.0,100
RHC-Optimal,1.0,50
RHC-Optimal,3.0,25
RHC-Optimal,0.0,25
RHC-Optimal,2.0,10
RHC-Optimal,1.0,10
RHC-Optimal,5.0,200
RHC-Optimal,47.0,200
RHC-Optimal,4.0,200
RHC-Optimal,6.0,100
RHC-Optimal,2.0,25
RHC-Optimal,2.0,10
RHC-Optimal,1.0,50
RHC-Optimal,1.0,25
RHC-Optimal,2.0,25
RHC-Optimal,4.0,10
RHC-Optimal,0.0,25
RHC-Optimal,2.0,25
RHC-Optimal,1.0,10
RHC-Optimal,0.0,10
RHC-Optimal,10.0,50
RHC-Optimal,2.0,200
RHC-Optimal,1.0,200
RHC-Optimal,7.0,200
RHC-Optimal,11.0,200
RHC-Optimal,6.0,100
RHC-Optimal,0.0,10
RHC-Optimal,3.0,100
RHC-Optimal,3.0,10
RHC-Optimal,5.0,100
RHC-Optimal,0.0,10
RHC-Optimal,5.0,10
RHC-Optimal,3.0,50
RHC-Optimal,1.0,25
RHC-Optimal,1.0,100
RHC-Optimal,1.0,100
RHC-Optimal,5.0,100
RHC-Optimal,3.0,100
RHC-Optimal,18.0,1000
RHC-Optimal,4.0,200
RHC-Optimal,1.0,10
RHC-Optimal,2.0,200
RHC-Optimal,2.0,10
RHC-Optimal,2.0,25
RHC-Optimal,4.0,25
RHC-Optimal,3.0,50
RHC-Optimal,8.0,100
RHC-Optimal,10.0,200
RHC-Optimal,4.0,10
RHC-Optimal,3.0,200
RHC-Optimal,3.0,25
RHC-Optimal,1.0,50
RHC-Optimal,1.0,25
RHC-Optimal,1.0,25
RHC-Optimal,1.0,50
RHC-Optimal,3.0,100
RHC-Optimal,16.0,500
RHC-Optimal,3.0,200
RHC-Optimal,4.0,200
RHC-Optimal,7.0,200
RHC-Optimal,18.0,500
RHC-Optimal,9.0,100
RHC-Optimal,10.0,200
RHC-Optimal,1.0,50
RHC-Optimal,2.0,100
RHC-Optimal,1.0,25
RHC-Optimal,4.0,50
RHC-Optimal,8.0,500
RHC-Optimal,1.0,50
RHC-Optimal,2.0,100
RHC-Optimal,4.0,25
RHC-Optimal,10.0,200
RHC-Optimal,11.0,200
RHC-Optimal,7.0,50
RHC-Optimal,3.0,100
RHC-Optimal,3.0,200
RHC-Optimal,0.0,25
RHC-Optimal,0.0,10
RHC-Optimal,3.0,25
RHC-Optimal,2.0,10
RHC-Optimal,1.0,25
RHC-Optimal,2.0,10
