algorithm,value,iterations
GA-N,100,1000
GA-N,100,1000
GA-N,40,5000
GA-N,20,5000
GA-N,100,1000
GA-N,20,5000
GA-N,40,5000
GA-N,20,5000
GA-N,20,5000
GA-N,20,5000
GA-N,40,5000
GA-N,20,5000
GA-N,40,5000
GA-N,40,5000
GA-N,40,5000
GA-N,20,5000
GA-N,60,5000
GA-N,20,5000
GA-N,20,5000
GA-N,60,5000
GA-N,40,5000
GA-N,80,5000
GA-N,20,5000
GA-N,40,5000
GA-N,60,5000
GA-N,60,5000
GA-N,60,5000
GA-N,40,5000
GA-N,60,5000
GA-N,60,5000
GA-N,80,5000
GA-N,80,5000
GA-N,80,5000
GA-N,80,5000
GA-N,100,5000
GA-N,60,5000
GA-N,80,5000
GA-N,80,5000
GA-N,60,5000
GA-N,80,5000
GA-N,100,5000
GA-N,100,5000
GA-N,60,5000
GA-N,80,5000
GA-N,100,5000
GA-N,80,5000
GA-N,100,5000
GA-N,100,5000
GA-N,100,5000
GA-N,100,5000
GA-N,100,5000
GA-N,100,5000
GA-Optimal,31.0,10
GA-Optimal,34.0,10
GA-Optimal,36.0,10
GA-Optimal,32.0,10
GA-Optimal,32.0,10
GA-Optimal,28.0,10
GA-Optimal,33.0,25
GA-Optimal,35.0,25
GA-Optimal,28.0,10
GA-Optimal,34.0,10
GA-Optimal,33.0,10
GA-Optimal,34.0,25
GA-Optimal,36.0,25
GA-Optimal,37.0,10
GA-Optimal,32.0,25
GA-Optimal,34.0,25
GA-Optimal,34.0,25
GA-Optimal,28.0,25
GA-Optimal,35.0,50
GA-Optimal,37.0,500
GA-Optimal,10.0,25
GA-Optimal,73.0,50
GA-Optimal,67.0,25
GA-Optimal,36.0,25
GA-Optimal,69.0,100
GA-Optimal,32.0,25
GA-Optimal,36.0,50
GA-Optimal,37.0,200
GA-Optimal,37.0,50
GA-Optimal,31.0,100
GA-Optimal,35.0,200
GA-Optimal,32.0,50
GA-Optimal,37.0,200
GA-Optimal,36.0,100
GA-Optimal,36.0,50
GA-Optimal,28.0,100
GA-Optimal,34.0,100
GA-Optimal,37.0,200
GA-Optimal,30.0,50
GA-Optimal,36.0,200
GA-Optimal,37.0,50
GA-Optimal,36.0,200
GA-Optimal,73.0,200
GA-Optimal,34.0,50
GA-Optimal,37.0,100
GA-Optimal,35.0,100
GA-Optimal,72.0,200
GA-Optimal,80.0,200
GA-Optimal,35.0,100
GA-Optimal,75.0,100
GA-Optimal,72.0,100
GA-Optimal,56.0,25
GA-Optimal,72.0,100
GA-Optimal,51.0,10
GA-Optimal,50.0,10
GA-Optimal,56.0,25
GA-Optimal,51.0,25
GA-Optimal,50.0,10
GA-Optimal,55.0,10
GA-Optimal,50.0,10
GA-Optimal,53.0,10
GA-Optimal,73.0,25
GA-Optimal,53.0,10
GA-Optimal,77.0,10
GA-Optimal,50.0,50
GA-Optimal,49.0,10
GA-Optimal,70.0,10
GA-Optimal,70.0,100
GA-Optimal,70.0,50
GA-Optimal,48.0,100
GA-Optimal,71.0,10
GA-Optimal,48.0,10
GA-Optimal,68.0,10
GA-Optimal,71.0,10
GA-Optimal,50.0,10
GA-Optimal,68.0,10
GA-Optimal,69.0,10
GA-Optimal,69.0,10
GA-Optimal,69.0,10
GA-Optimal,74.0,50
GA-Optimal,51.0,25
GA-Optimal,57.0,25
GA-Optimal,71.0,50
GA-Optimal,50.0,25
GA-Optimal,69.0,10
GA-Optimal,74.0,500
GA-Optimal,93.0,500
GA-Optimal,51.0,25
GA-Optimal,70.0,25
GA-Optimal,71.0,50
GA-Optimal,49.0,25
GA-Optimal,47.0,200
GA-Optimal,64.0,500
GA-Optimal,37.0,500
GA-Optimal,56.0,50
GA-Optimal,68.0,25
GA-Optimal,57.0,50
GA-Optimal,73.0,25
GA-Optimal,54.0,200
GA-Optimal,77.0,500
GA-Optimal,50.0,50
GA-Optimal,59.0,100
GA-Optimal,54.0,25
GA-Optimal,51.0,25
GA-Optimal,71.0,500
GA-Optimal,59.0,50
GA-Optimal,50.0,50
GA-Optimal,72.0,500
GA-Optimal,56.0,200
GA-Optimal,48.0,100
GA-Optimal,70.0,25
GA-Optimal,48.0,50
GA-Optimal,31.0,50
GA-Optimal,64.0,200
GA-Optimal,60.0,100
GA-Optimal,73.0,25
GA-Optimal,55.0,100
GA-Optimal,55.0,200
GA-Optimal,69.0,25
GA-Optimal,51.0,50
GA-Optimal,68.0,50
GA-Optimal,37.0,50
GA-Optimal,69.0,50
GA-Optimal,71.0,25
GA-Optimal,72.0,50
GA-Optimal,70.0,50
GA-Optimal,72.0,50
GA-Optimal,48.0,50
GA-Optimal,62.0,200
GA-Optimal,57.0,200
GA-Optimal,55.0,100
GA-Optimal,37.0,1000
GA-Optimal,65.0,1000
GA-Optimal,55.0,500
GA-Optimal,37.0,500
GA-Optimal,61.0,500
GA-Optimal,52.0,200
GA-Optimal,37.0,1000
GA-Optimal,56.0,200
GA-Optimal,37.0,500
GA-Optimal,50.0,500
GA-Optimal,62.0,1000
GA-Optimal,37.0,1000
GA-Optimal,80.0,1000
GA-Optimal,37.0,500
GA-Optimal,71.0,500
GA-Optimal,71.0,100
GA-Optimal,37.0,100
GA-Optimal,76.0,200
GA-Optimal,37.0,200
GA-Optimal,68.0,100
GA-Optimal,37.0,200
GA-Optimal,34.0,200
GA-Optimal,74.0,100
GA-Optimal,33.0,100
GA-Optimal,75.0,200
GA-Optimal,59.0,100
GA-Optimal,70.0,100
GA-Optimal,72.0,100
GA-Optimal,75.0,100
GA-Optimal,47.0,50
GA-Optimal,72.0,500
GA-Optimal,37.0,500
GA-Optimal,63.0,100
GA-Optimal,69.0,500
GA-Optimal,37.0,500
GA-Optimal,35.0,100
GA-Optimal,34.0,200
GA-Optimal,69.0,200
GA-Optimal,14.0,10
GA-Optimal,37.0,500
GA-Optimal,14.0,10
GA-Optimal,58.0,500
GA-Optimal,9.0,10
GA-Optimal,91.0,10
GA-Optimal,54.0,200
GA-Optimal,37.0,500
GA-Optimal,74.0,500
GA-Optimal,68.0,500
GA-Optimal,37.0,1000
GA-Optimal,90.0,10
GA-Optimal,12.0,10
GA-Optimal,91.0,10
GA-Optimal,91.0,10
GA-Optimal,92.0,10
GA-Optimal,11.0,10
GA-Optimal,80.0,200
GA-Optimal,75.0,200
GA-Optimal,10.0,25
GA-Optimal,37.0,1000
GA-Optimal,51.0,500
GA-Optimal,63.0,1000
GA-Optimal,94.0,25
GA-Optimal,14.0,25
GA-Optimal,56.0,100
GA-Optimal,94.0,25
GA-Optimal,69.0,1000
GA-Optimal,79.0,500
GA-Optimal,87.0,1000
GA-Optimal,79.0,200
GA-Optimal,93.0,25
GA-Optimal,91.0,25
GA-Optimal,16.0,25
GA-Optimal,96.0,25
GA-Optimal,19.0,50
GA-Optimal,14.0,25
GA-Optimal,37.0,1000
GA-Optimal,92.0,50
GA-Optimal,96.0,50
GA-Optimal,72.0,200
GA-Optimal,97.0,25
GA-Optimal,25.0,500
GA-Optimal,60.0,500
GA-Optimal,37.0,1000
GA-Optimal,37.0,500
GA-Optimal,76.0,1000
GA-Optimal,100.0,50
GA-Optimal,72.0,1000
GA-Optimal,77.0,1000
GA-Optimal,89.0,50
GA-Optimal,93.0,50
GA-Optimal,16.0,50
GA-Optimal,98.0,50
GA-Optimal,93.0,50
GA-Optimal,75.0,1000
GA-Optimal,91.0,1000
GA-Optimal,55.0,500
GA-Optimal,94.0,50
GA-Optimal,12.0,100
GA-Optimal,26.0,100
GA-Optimal,72.0,1000
GA-Optimal,94.0,200
GA-Optimal,97.0,100
GA-Optimal,95.0,100
GA-Optimal,94.0,200
GA-Optimal,60.0,1000
GA-Optimal,91.0,200
GA-Optimal,103.0,200
GA-Optimal,10.0,100
GA-Optimal,95.0,500
GA-Optimal,92.0,100
GA-Optimal,57.0,1000
GA-Optimal,92.0,100
GA-Optimal,95.0,200
GA-Optimal,96.0,100
GA-Optimal,90.0,200
GA-Optimal,91.0,100
GA-Optimal,73.0,1000
GA-Optimal,37.0,1000
GA-Optimal,10.0,10
GA-Optimal,9.0,10
GA-Optimal,15.0,10
GA-Optimal,12.0,10
GA-Optimal,10.0,10
GA-Optimal,9.0,10
GA-Optimal,90.0,100
GA-Optimal,112.0,10
GA-Optimal,94.0,200
GA-Optimal,14.0,10
GA-Optimal,10.0,10
GA-Optimal,12.0,10
GA-Optimal,37.0,1000
GA-Optimal,106.0,1000
GA-Optimal,9.0,25
GA-Optimal,14.0,25
GA-Optimal,22.0,200
GA-Optimal,96.0,500
GA-Optimal,97.0,200
GA-Optimal,93.0,500
GA-Optimal,93.0,200
GA-Optimal,97.0,1000
GA-Optimal,10.0,25
GA-Optimal,11.0,25
GA-Optimal,94.0,500
GA-Optimal,16.0,25
GA-Optimal,17.0,25
GA-Optimal,12.0,25
GA-Optimal,8.0,25
GA-Optimal,92.0,500
GA-Optimal,17.0,50
GA-Optimal,123.0,50
GA-Optimal,11.0,50
GA-Optimal,102.0,500
GA-Optimal,11.0,50
GA-Optimal,15.0,50
GA-Optimal,17.0,50
GA-Optimal,111.0,50
GA-Optimal,10.0,50
GA-Optimal,106.0,500
GA-Optimal,20.0,500
GA-Optimal,37.0,1000
GA-Optimal,25.0,50
GA-Optimal,93.0,1000
GA-Optimal,17.0,100
GA-Optimal,9.0,100
GA-Optimal,11.0,25
GA-Optimal,11.0,25
GA-Optimal,21.0,100
GA-Optimal,14.0,50
GA-Optimal,75.0,1000
GA-Optimal,17.0,100
GA-Optimal,81.0,1000
GA-Optimal,115.0,100
GA-Optimal,9.0,100
GA-Optimal,11.0,100
GA-Optimal,13.0,100
GA-Optimal,115.0,100
GA-Optimal,98.0,1000
GA-Optimal,114.0,100
GA-Optimal,14.0,200
GA-Optimal,117.0,200
GA-Optimal,15.0,200
GA-Optimal,112.0,500
GA-Optimal,112.0,200
GA-Optimal,101.0,1000
GA-Optimal,24.0,200
GA-Optimal,24.0,200
GA-Optimal,17.0,500
GA-Optimal,97.0,500
GA-Optimal,114.0,500
GA-Optimal,114.0,200
GA-Optimal,113.0,200
GA-Optimal,113.0,200
GA-Optimal,10.0,200
GA-Optimal,113.0,500
GA-Optimal,100.0,1000
GA-Optimal,104.0,1000
GA-Optimal,94.0,1000
GA-Optimal,99.0,1000
GA-Optimal,22.0,500
GA-Optimal,115.0,500
GA-Optimal,17.0,500
GA-Optimal,94.0,1000
GA-Optimal,118.0,1000
GA-Optimal,97.0,1000
GA-Optimal,127.0,500
GA-Optimal,118.0,500
GA-Optimal,94.0,1000
GA-Optimal,122.0,500
GA-Optimal,12.0,500
GA-Optimal,99.0,1000
GA-Optimal,121.0,1000
GA-Optimal,27.0,1000
GA-Optimal,75.0,5000
GA-Optimal,33.0,1000
GA-Optimal,40.0,1000
GA-Optimal,15.0,1000
GA-Optimal,118.0,1000
GA-Optimal,30.0,1000
GA-Optimal,126.0,1000
GA-Optimal,75.0,5000
GA-Optimal,37.0,5000
GA-Optimal,116.0,1000
GA-Optimal,37.0,5000
GA-Optimal,75.0,5000
GA-Optimal,37.0,5000
GA-Optimal,37.0,5000
GA-Optimal,37.0,5000
GA-Optimal,75.0,5000
GA-Optimal,37.0,5000
GA-Optimal,75.0,5000
GA-Optimal,75.0,5000
GA-Optimal,75.0,5000
GA-Optimal,37.0,5000
GA-Optimal,84.0,5000
GA-Optimal,37.0,5000
GA-Optimal,37.0,5000
GA-Optimal,107.0,5000
GA-Optimal,75.0,5000
GA-Optimal,105.0,5000
GA-Optimal,37.0,5000
GA-Optimal,75.0,5000
GA-Optimal,99.0,5000
GA-Optimal,103.0,5000
GA-Optimal,84.0,5000
GA-Optimal,75.0,5000
GA-Optimal,98.0,5000
GA-Optimal,110.0,5000
GA-Optimal,116.0,5000
GA-Optimal,60.0,5000
GA-Optimal,133.0,5000
GA-Optimal,108.0,5000
GA-Optimal,162.0,5000
GA-Optimal,113.0,5000
GA-Optimal,113.0,5000
GA-Optimal,104.0,5000
GA-Optimal,113.0,5000
GA-Optimal,110.0,5000
GA-Optimal,43.0,5000
GA-Optimal,127.0,5000
GA-Optimal,96.0,5000
GA-Optimal,118.0,5000
GA-Optimal,55.0,5000
GA-Optimal,109.0,5000
GA-Optimal,155.0,5000
GA-Optimal,140.0,5000
GA-Optimal,134.0,5000
GA-Optimal,129.0,5000
GA-Optimal,43.0,5000
GA-Optimal,132.0,5000
