algorithm,value,iterations
SA-N,80,500
SA-N,100,1000
SA-N,20,5000
SA-N,100,1000
SA-N,40,5000
SA-N,20,5000
SA-N,100,1000
SA-N,40,5000
SA-N,20,5000
SA-N,80,5000
SA-N,60,5000
SA-N,20,5000
SA-N,60,5000
SA-N,80,5000
SA-N,40,5000
SA-N,60,5000
SA-N,80,5000
SA-N,60,5000
SA-N,40,5000
SA-N,60,5000
SA-N,100,5000
SA-N,100,5000
SA-N,20,5000
SA-N,20,5000
SA-N,40,5000
SA-N,80,5000
SA-N,80,5000
SA-N,80,5000
SA-N,20,5000
SA-N,40,5000
SA-N,40,5000
SA-N,80,5000
SA-N,100,5000
SA-N,100,5000
SA-N,20,5000
SA-N,60,5000
SA-N,60,5000
SA-N,100,5000
SA-N,100,5000
SA-N,80,5000
SA-N,100,5000
SA-N,80,5000
SA-N,60,5000
SA-N,100,5000
SA-N,60,5000
SA-N,100,5000
SA-N,80,5000
SA-N,100,5000
SA-N,20,5000
SA-N,60,5000
SA-N,20,5000
SA-N,40,5000
SA-Optimal,1.0,25
SA-Optimal,1.0,10
SA-Optimal,1.0,10
SA-Optimal,1.0,10
SA-Optimal,2.0,10
SA-Optimal,0.0,10
SA-Optimal,0.0,10
SA-Optimal,0.0,10
SA-Optimal,0.0,10
SA-Optimal,0.0,25
SA-Optimal,2.0,25
SA-Optimal,1.0,25
SA-Optimal,1.0,25
SA-Optimal,0.0,25
SA-Optimal,0.0,25
SA-Optimal,1.0,25
SA-Optimal,3.0,10
SA-Optimal,2.0,25
SA-Optimal,1.0,10
SA-Optimal,1.0,25
SA-Optimal,3.0,50
SA-Optimal,3.0,50
SA-Optimal,55.0,1000
SA-Optimal,2.0,500
SA-Optimal,0.0,500
SA-Optimal,0.0,200
SA-Optimal,1.0,500
SA-Optimal,2.0,200
SA-Optimal,5.0,200
SA-Optimal,3.0,500
SA-Optimal,3.0,200
SA-Optimal,3.0,200
SA-Optimal,4.0,500
SA-Optimal,0.0,200
SA-Optimal,1.0,200
SA-Optimal,2.0,500
SA-Optimal,2.0,50
