1.0
3.0
3.0
3.0
3.0
3.0
3.0
3.0
3.0
3.0
3.0
3.0
3.0
3.0
3.0
3.0
3.0
3.0
3.0
3.0
3.0
3.0
3.0
3.0
3.0
3.0

Problem: four_peaks
Algorithm: RHC
Time Elapse: 60.0
Optimal Value: 3.0
Total function call: 28
