algorithm,iterations,time
RHC,2000,1056.0
RHC,2000,1345.0
RHC,2000,1489.0
RHC,2000,1496.0
RHC,2000,1585.0
RHC,2000,1594.0
RHC,2000,1754.0
RHC,2000,1911.0
RHC,2000,565.0
RHC,2000,679.0
RHC,2500,1022.0
RHC,2500,1080.0
RHC,2500,126.0
RHC,2500,1298.0
RHC,2500,1342.0
RHC,2500,1666.0
RHC,2500,2356.0
RHC,2500,2426.0
RHC,2500,2432.0
RHC,2500,2487.0
RHC,3000,1298.0
RHC,3000,1689.0
RHC,3000,1699.0
RHC,3000,1753.0
RHC,3000,1992.0
RHC,3000,2227.0
RHC,3000,2300.0
RHC,3000,2428.0
RHC,3000,2502.0
RHC,3000,735.0
SA55,1,0.0
SA55,1,0.0
SA55,1,0.0
SA55,1,0.0
SA55,1,0.0
SA55,1,0.0
SA55,1,0.0
SA55,1,0.0
SA55,1,0.0
SA55,1,1.0
SA55,50,0.0
SA55,50,0.0
SA55,50,0.0
SA55,50,0.0
SA55,50,0.0
SA55,50,0.0
SA55,50,0.0
SA55,50,0.0
SA55,50,0.0
SA55,50,1.0
SA55,100,0.0
SA55,100,1.0
SA55,100,1.0
SA55,100,1.0
SA55,100,1.0
SA55,100,10.0
SA55,100,5.0
SA55,100,6.0
SA55,100,83.0
SA55,100,86.0
SA55,150,0.0
SA55,150,104.0
SA55,150,105.0
SA55,150,15.0
SA55,150,15.0
SA55,150,18.0
SA55,150,3.0
SA55,150,31.0
SA55,150,42.0
SA55,150,55.0
SA55,200,125.0
SA55,200,127.0
SA55,200,130.0
SA55,200,23.0
SA55,200,26.0
SA55,200,26.0
SA55,200,28.0
SA55,200,28.0
SA55,200,29.0
SA55,200,97.0
SA55,300,1.0
SA55,300,1.0
SA55,300,10.0
SA55,300,165.0
SA55,300,2.0
SA55,300,2.0
SA55,300,2.0
SA55,300,203.0
SA55,300,238.0
SA55,300,42.0
SA55,400,112.0
SA55,400,236.0
SA55,400,243.0
SA55,400,254.0
SA55,400,342.0
SA55,400,370.0
SA55,400,578.0
SA55,400,58.0
SA55,400,616.0
SA55,400,62.0
SA55,500,1018.0
SA55,500,102.0
SA55,500,115.0
SA55,500,128.0
SA55,500,135.0
SA55,500,144.0
SA55,500,203.0
SA55,500,542.0
SA55,500,648.0
SA55,500,678.0
SA55,600,1102.0
SA55,600,111.0
SA55,600,113.0
SA55,600,1207.0
SA55,600,21.0
SA55,600,270.0
SA55,600,51.0
SA55,600,58.0
SA55,600,594.0
SA55,600,786.0
SA55,700,100.0
SA55,700,288.0
SA55,700,527.0
SA55,700,543.0
SA55,700,55.0
SA55,700,8.0
SA55,700,8.0
SA55,700,8.0
SA55,700,823.0
SA55,700,893.0
SA55,800,1073.0
SA55,800,1080.0
SA55,800,27.0
SA55,800,303.0
SA55,800,359.0
SA55,800,485.0
SA55,800,491.0
SA55,800,5.0
SA55,800,7.0
SA55,800,741.0
SA55,900,1052.0
SA55,900,14.0
SA55,900,14.0
SA55,900,5.0
SA55,900,530.0
SA55,900,6.0
SA55,900,6.0
SA55,900,676.0
SA55,900,7.0
SA55,900,9.0
SA55,1000,10.0
SA55,1000,1112.0
SA55,1000,12.0
SA55,1000,12.0
SA55,1000,17.0
SA55,1000,184.0
SA55,1000,222.0
SA55,1000,30.0
SA55,1000,558.0
SA55,1000,661.0
SA55,1500,1044.0
SA55,1500,1173.0
SA55,1500,1269.0
SA55,1500,1449.0
SA55,1500,233.0
SA55,1500,252.0
SA55,1500,532.0
SA55,1500,622.0
SA55,1500,674.0
SA55,1500,891.0
SA55,2000,1023.0
SA55,2000,1356.0
SA55,2000,149.0
SA55,2000,165.0
SA55,2000,396.0
SA55,2000,58.0
SA55,2000,858.0
SA55,2000,866.0
SA55,2000,883.0
SA55,2000,912.0
SA55,2500,1142.0
SA55,2500,1236.0
SA55,2500,1295.0
SA55,2500,1433.0
SA55,2500,1514.0
SA55,2500,1607.0
SA55,2500,1772.0
SA55,2500,1842.0
SA55,2500,1853.0
SA55,2500,544.0
SA55,3000,1076.0
