algorithm,iterations,optimal
GA,1,112.0
GA,1,113.0
GA,1,116.0
GA,1,118.0
GA,1,119.0
GA,1,119.0
GA,1,121.0
GA,1,122.0
GA,1,123.0
GA,1,125.0
GA,50,128.0
GA,50,129.0
GA,50,130.0
GA,50,131.0
GA,50,131.0
GA,50,132.0
GA,50,135.0
GA,50,135.0
GA,50,135.0
GA,50,140.0
GA,100,130.0
GA,100,134.0
GA,100,135.0
GA,100,135.0
GA,100,136.0
GA,100,138.0
GA,100,138.0
GA,100,139.0
GA,100,139.0
GA,100,142.0
GA,150,131.0
GA,150,134.0
GA,150,137.0
GA,150,139.0
GA,150,139.0
GA,150,140.0
GA,150,141.0
GA,150,142.0
GA,150,143.0
GA,150,143.0
GA,200,136.0
GA,200,136.0
GA,200,141.0
GA,200,141.0
GA,200,142.0
GA,200,146.0
GA,200,147.0
GA,200,148.0
GA,200,151.0
GA,200,151.0
GA,300,133.0
GA,300,135.0
GA,300,135.0
GA,300,140.0
GA,300,142.0
GA,300,144.0
GA,300,144.0
GA,300,145.0
GA,300,147.0
GA,300,148.0
GA,400,136.0
GA,400,141.0
GA,400,141.0
GA,400,142.0
GA,400,145.0
GA,400,145.0
GA,400,149.0
GA,400,149.0
GA,400,151.0
GA,400,154.0
GA,500,133.0
GA,500,136.0
GA,500,137.0
GA,500,142.0
GA,500,148.0
GA,500,148.0
GA,500,148.0
GA,500,148.0
GA,500,150.0
GA,500,152.0
GA,600,135.0
GA,600,135.0
GA,600,139.0
GA,600,141.0
GA,600,142.0
GA,600,144.0
GA,600,145.0
GA,600,145.0
GA,600,146.0
GA,600,148.0
GA,700,135.0
GA,700,141.0
GA,700,141.0
GA,700,143.0
GA,700,143.0
GA,700,144.0
GA,700,145.0
GA,700,150.0
GA,700,152.0
GA,700,155.0
GA,800,141.0
GA,800,141.0
GA,800,145.0
GA,800,147.0
GA,800,148.0
GA,800,148.0
GA,800,152.0
GA,800,152.0
GA,800,154.0
GA,800,159.0
GA,900,138.0
GA,900,140.0
GA,900,143.0
GA,900,143.0
GA,900,151.0
GA,900,152.0
GA,900,155.0
GA,900,156.0
GA,900,158.0
GA,900,160.0
GA,1000,146.0
GA,1000,146.0
GA,1000,148.0
GA,1000,148.0
GA,1000,149.0
GA,1000,150.0
GA,1000,151.0
GA,1000,154.0
GA,1000,154.0
GA,1000,154.0
GA,1500,140.0
GA,1500,142.0
GA,1500,149.0
GA,1500,149.0
GA,1500,150.0
GA,1500,151.0
GA,1500,156.0
GA,1500,156.0
GA,1500,158.0
GA,1500,161.0
GA,2000,146.0
GA,2000,146.0
GA,2000,148.0
GA,2000,149.0
GA,2000,149.0
GA,2000,154.0
GA,2000,154.0
GA,2000,154.0
GA,2000,155.0
GA,2000,161.0
GA,2500,149.0
GA,2500,150.0
GA,2500,151.0
GA,2500,157.0
GA,2500,158.0
GA,2500,158.0
GA,2500,158.0
GA,2500,160.0
GA,2500,162.0
GA,2500,163.0
GA,3000,145.0
GA,3000,154.0
GA,3000,157.0
GA,3000,157.0
GA,3000,159.0
GA,3000,161.0
GA,3000,161.0
GA,3000,162.0
GA,3000,163.0
GA,3000,165.0
RHC,1,100.0
RHC,1,104.0
RHC,1,105.0
RHC,1,105.0
RHC,1,113.0
RHC,1,87.0
RHC,1,92.0
RHC,1,92.0
RHC,1,98.0
RHC,1,98.0
RHC,50,104.0
RHC,50,109.0
RHC,50,109.0
RHC,50,111.0
RHC,50,111.0
RHC,50,112.0
RHC,50,113.0
RHC,50,116.0
RHC,50,121.0
RHC,50,98.0
RHC,100,112.0
RHC,100,114.0
RHC,100,115.0
RHC,100,119.0
RHC,100,123.0
RHC,100,124.0
RHC,100,124.0
RHC,100,125.0
RHC,100,126.0
RHC,100,132.0
RHC,150,125.0
RHC,150,128.0
RHC,150,130.0
RHC,150,130.0
RHC,150,131.0
RHC,150,131.0
RHC,150,132.0
RHC,150,135.0
RHC,150,137.0
RHC,150,143.0
RHC,200,131.0
RHC,200,132.0
RHC,200,139.0
RHC,200,141.0
RHC,200,141.0
RHC,200,145.0
RHC,200,147.0
RHC,200,148.0
RHC,200,148.0
RHC,200,151.0
RHC,300,140.0
RHC,300,146.0
RHC,300,148.0
RHC,300,150.0
RHC,300,150.0
RHC,300,151.0
RHC,300,154.0
RHC,300,156.0
RHC,300,156.0
RHC,300,156.0
RHC,400,157.0
RHC,400,161.0
RHC,400,164.0
RHC,400,164.0
RHC,400,164.0
RHC,400,164.0
RHC,400,168.0
RHC,400,168.0
RHC,400,169.0
RHC,400,170.0
RHC,500,168.0
RHC,500,168.0
RHC,500,168.0
RHC,500,169.0
RHC,500,170.0
RHC,500,172.0
RHC,500,173.0
RHC,500,176.0
RHC,500,178.0
RHC,500,182.0
RHC,600,171.0
RHC,600,171.0
RHC,600,175.0
RHC,600,177.0
RHC,600,177.0
RHC,600,182.0
RHC,600,183.0
RHC,600,184.0
RHC,600,187.0
RHC,600,188.0
RHC,700,176.0
RHC,700,179.0
RHC,700,180.0
RHC,700,181.0
RHC,700,182.0
RHC,700,184.0
RHC,700,184.0
RHC,700,185.0
RHC,700,185.0
RHC,700,187.0
RHC,800,181.0
RHC,800,184.0
RHC,800,184.0
RHC,800,184.0
RHC,800,185.0
RHC,800,187.0
RHC,800,188.0
RHC,800,189.0
RHC,800,189.0
RHC,800,190.0
RHC,900,185.0
RHC,900,185.0
RHC,900,188.0
RHC,900,189.0
RHC,900,190.0
RHC,900,190.0
RHC,900,191.0
RHC,900,193.0
RHC,900,194.0
RHC,900,195.0
RHC,1000,187.0
RHC,1000,190.0
RHC,1000,191.0
RHC,1000,191.0
RHC,1000,192.0
RHC,1000,192.0
RHC,1000,193.0
RHC,1000,194.0
RHC,1000,194.0
RHC,1000,194.0
RHC,1500,196.0
RHC,1500,197.0
RHC,1500,197.0
RHC,1500,197.0
RHC,1500,197.0
RHC,1500,198.0
RHC,1500,199.0
RHC,1500,199.0
RHC,1500,199.0
RHC,1500,199.0
RHC,2000,198.0
RHC,2000,198.0
RHC,2000,198.0
RHC,2000,199.0
RHC,2000,199.0
RHC,2000,200.0
RHC,2000,200.0
RHC,2000,200.0
RHC,2000,200.0
RHC,2000,200.0
RHC,2500,199.0
RHC,2500,200.0
RHC,2500,200.0
RHC,2500,200.0
RHC,2500,200.0
RHC,2500,200.0
