algorithm,iterations,functions
GAHighPop,1,409
GAHighPop,1,409
GAHighPop,1,410
GAHighPop,1,410
GAHighPop,1,410
GAHighPop,1,411
GAHighPop,1,411
GAHighPop,1,411
GAHighPop,1,413
GAHighPop,1,417
GAHighPop,500,52699
GAHighPop,500,52711
GAHighPop,500,52727
GAHighPop,500,52743
GAHighPop,500,52749
GAHighPop,500,52757
GAHighPop,500,52761
GAHighPop,500,52775
GAHighPop,500,52776
GAHighPop,500,52802
GAHighPop,1000,105120
GAHighPop,1000,105157
GAHighPop,1000,105167
GAHighPop,1000,105169
GAHighPop,1000,105211
GAHighPop,1000,105211
GAHighPop,1000,105226
GAHighPop,1000,105239
GAHighPop,1000,105241
GAHighPop,1000,105260
GAHighPop,1500,157537
GAHighPop,1500,157558
GAHighPop,1500,157631
GAHighPop,1500,157635
GAHighPop,1500,157649
GAHighPop,1500,157674
GAHighPop,1500,157718
GAHighPop,1500,157718
GAHighPop,1500,157735
GAHighPop,1500,157781
GAHighPop,2000,209956
GAHighPop,2000,210047
GAHighPop,2000,210088
GAHighPop,2000,210097
GAHighPop,2000,210115
GAHighPop,2000,210123
GAHighPop,2000,210128
GAHighPop,2000,210146
GAHighPop,2000,210168
GAHighPop,2000,210238
GAHighPop,2500,262421
GAHighPop,2500,262463
GAHighPop,2500,262483
GAHighPop,2500,262498
GAHighPop,2500,262504
GAHighPop,2500,262505
GAHighPop,2500,262511
GAHighPop,2500,262575
GAHighPop,2500,262575
GAHighPop,2500,262610
GAHighPop,3000,314886
GAHighPop,3000,314890
GAHighPop,3000,314900
GAHighPop,3000,314926
GAHighPop,3000,314942
GAHighPop,3000,314945
GAHighPop,3000,314967
GAHighPop,3000,315030
GAHighPop,3000,315038
GAHighPop,3000,315061
GAHighPop,3500,367343
GAHighPop,3500,367355
GAHighPop,3500,367359
GAHighPop,3500,367383
GAHighPop,3500,367398
GAHighPop,3500,367406
GAHighPop,3500,367417
GAHighPop,3500,367419
GAHighPop,3500,367498
GAHighPop,3500,367594
GAHighPop,4000,419684
GAHighPop,4000,419782
GAHighPop,4000,419787
GAHighPop,4000,419799
GAHighPop,4000,419835
GAHighPop,4000,419851
GAHighPop,4000,419865
GAHighPop,4000,419878
GAHighPop,4000,419884
GAHighPop,4000,419889
GAHighPop,4500,472167
GAHighPop,4500,472172
GAHighPop,4500,472176
GAHighPop,4500,472273
GAHighPop,4500,472286
GAHighPop,4500,472317
GAHighPop,4500,472321
GAHighPop,4500,472415
GAHighPop,4500,472426
GAHighPop,4500,472504
GAHighPop,5000,524566
GAHighPop,5000,524643
GAHighPop,5000,524687
GAHighPop,5000,524716
GAHighPop,5000,524726
GAHighPop,5000,524738
GAHighPop,5000,524748
GAHighPop,5000,524825
GAHighPop,5000,524876
GAHighPop,5000,524964
GALowPop,1,408
GALowPop,1,408
GALowPop,1,409
GALowPop,1,410
GALowPop,1,410
GALowPop,1,411
GALowPop,1,411
GALowPop,1,412
GALowPop,1,412
GALowPop,1,412
GALowPop,500,52703
GALowPop,500,52723
GALowPop,500,52730
GALowPop,500,52738
GALowPop,500,52739
GALowPop,500,52755
GALowPop,500,52764
GALowPop,500,52789
GALowPop,500,52790
GALowPop,500,52803
GALowPop,1000,105129
GALowPop,1000,105156
GALowPop,1000,105163
GALowPop,1000,105209
GALowPop,1000,105224
GALowPop,1000,105226
GALowPop,1000,105229
GALowPop,1000,105233
GALowPop,1000,105248
GALowPop,1000,105252
GALowPop,1500,157531
GALowPop,1500,157599
GALowPop,1500,157643
GALowPop,1500,157650
GALowPop,1500,157670
GALowPop,1500,157687
GALowPop,1500,157699
GALowPop,1500,157702
GALowPop,1500,157711
GALowPop,1500,157741
GALowPop,2000,210006
GALowPop,2000,210018
GALowPop,2000,210022
GALowPop,2000,210073
GALowPop,2000,210075
GALowPop,2000,210089
GALowPop,2000,210115
GALowPop,2000,210137
GALowPop,2000,210154
GALowPop,2000,210216
GALowPop,2500,262484
GALowPop,2500,262519
GALowPop,2500,262524
GALowPop,2500,262531
GALowPop,2500,262603
GALowPop,2500,262609
GALowPop,2500,262632
GALowPop,2500,262660
GALowPop,2500,262671
GALowPop,2500,262689
GALowPop,3000,314834
GALowPop,3000,314842
GALowPop,3000,314937
GALowPop,3000,314985
GALowPop,3000,315007
GALowPop,3000,315041
GALowPop,3000,315054
GALowPop,3000,315082
GALowPop,3000,315118
GALowPop,3000,315200
GALowPop,3500,367237
GALowPop,3500,367288
GALowPop,3500,367329
GALowPop,3500,367341
GALowPop,3500,367376
GALowPop,3500,367377
GALowPop,3500,367395
GALowPop,3500,367397
GALowPop,3500,367400
GALowPop,3500,367412
GALowPop,4000,419747
GALowPop,4000,419769
GALowPop,4000,419805
GALowPop,4000,419842
GALowPop,4000,419864
GALowPop,4000,419888
GALowPop,4000,419909
GALowPop,4000,419926
GALowPop,4000,419974
GALowPop,4000,419978
GALowPop,4500,472258
GALowPop,4500,472300
GALowPop,4500,472323
GALowPop,4500,472336
GALowPop,4500,472343
GALowPop,4500,472365
GALowPop,4500,472408
GALowPop,4500,472484
GALowPop,4500,472524
GALowPop,4500,472633
GALowPop,5000,524570
GALowPop,5000,524620
GALowPop,5000,524681
GALowPop,5000,524683
GALowPop,5000,524700
GALowPop,5000,524794
GALowPop,5000,524799
GALowPop,5000,524830
GALowPop,5000,524841
GALowPop,5000,524997
RHC,1,4
RHC,1,4
RHC,1,4
RHC,1,4
RHC,1,4
RHC,1,4
RHC,1,4
RHC,1,4
RHC,1,4
RHC,1,4
RHC,500,503
RHC,500,503
RHC,500,503
RHC,500,503
RHC,500,503
RHC,500,503
RHC,500,503
RHC,500,503
RHC,500,503
RHC,500,503
RHC,1000,1003
RHC,1000,1003
RHC,1000,1003
RHC,1000,1003
RHC,1000,1003
RHC,1000,1003
RHC,1000,1003
RHC,1000,1003
