algorithm,iterations,optimal
RHC,1000,17.0
RHC,1000,34.0
RHC,1000,7.0
RHC,1000,8.0
RHC,1000,8.0
RHC,1500,15.0
RHC,1500,17.0
RHC,1500,23.0
RHC,1500,23.0
RHC,1500,26.0
RHC,1500,28.0
RHC,1500,33.0
RHC,1500,5.0
RHC,1500,5.0
RHC,1500,6.0
RHC,2000,10.0
RHC,2000,16.0
RHC,2000,16.0
RHC,2000,22.0
RHC,2000,22.0
RHC,2000,24.0
RHC,2000,27.0
RHC,2000,28.0
RHC,2000,29.0
RHC,2000,9.0
RHC,2500,19.0
RHC,2500,21.0
RHC,2500,24.0
RHC,2500,24.0
RHC,2500,24.0
RHC,2500,29.0
RHC,2500,31.0
RHC,2500,36.0
RHC,2500,37.0
RHC,2500,39.0
RHC,3000,29.0
RHC,3000,30.0
RHC,3000,32.0
RHC,3000,33.0
RHC,3000,40.0
RHC,3000,40.0
RHC,3000,41.0
RHC,3000,42.0
RHC,3000,43.0
RHC,3000,43.0
RHC,3500,18.0
RHC,3500,23.0
RHC,3500,24.0
RHC,3500,26.0
RHC,3500,31.0
RHC,3500,32.0
RHC,3500,32.0
RHC,3500,35.0
RHC,3500,38.0
RHC,3500,47.0
RHC,4000,25.0
RHC,4000,27.0
RHC,4000,28.0
RHC,4000,28.0
RHC,4000,33.0
RHC,4000,38.0
RHC,4000,41.0
RHC,4000,46.0
RHC,4000,49.0
RHC,4000,84.0
RHC,4500,24.0
RHC,4500,35.0
RHC,4500,36.0
RHC,4500,39.0
RHC,4500,44.0
RHC,4500,44.0
RHC,4500,50.0
RHC,4500,56.0
RHC,4500,74.0
RHC,4500,75.0
RHC,5000,45.0
RHC,5000,45.0
RHC,5000,46.0
RHC,5000,46.0
RHC,5000,47.0
RHC,5000,54.0
RHC,5000,60.0
RHC,5000,62.0
RHC,5000,74.0
RHC,5000,82.0
SA55,1,0.0
SA55,1,1.0
SA55,1,1.0
SA55,1,1.0
SA55,1,1.0
SA55,1,2.0
SA55,1,2.0
SA55,1,2.0
SA55,1,3.0
SA55,1,4.0
SA55,500,1.0
SA55,500,11.0
SA55,500,11.0
SA55,500,12.0
SA55,500,2.0
SA55,500,3.0
SA55,500,3.0
SA55,500,4.0
SA55,500,5.0
SA55,500,6.0
SA55,1000,10.0
SA55,1000,10.0
