train,GA,578.0,3095.0,15.736,10.191,0.076,10
test,GA,235.0,990.0,19.184,10.191,0.012,10
train,RHC,1617.0,2056.0,44.024,14.062,0.030,500
test,RHC,581.0,644.0,47.429,14.062,0.047,500
train,SA,1630.0,2043.0,44.378,14.255,0.035,500
test,SA,585.0,640.0,47.755,14.255,0.009,500
train,GA,752.0,2921.0,20.474,19.076,0.022,25
test,GA,407.0,818.0,33.224,19.076,0.007,25
train,GA,1102.0,2571.0,30.003,34.204,0.020,50
test,GA,317.0,908.0,25.878,34.204,0.007,50
train,GA,1167.0,2506.0,31.772,59.419,0.037,100
test,GA,304.0,921.0,24.816,59.419,0.013,100
train,RHC,370.0,3303.0,10.074,0.997,0.353,10
test,RHC,115.0,1110.0,9.388,0.997,0.072,10
train,SA,1617.0,2056.0,44.024,1.082,0.377,10
test,SA,581.0,644.0,47.429,1.082,0.042,10
train,RHC,1616.0,2057.0,43.997,2.226,0.165,25
test,RHC,581.0,644.0,47.429,2.226,0.077,25
train,SA,140.0,3533.0,3.812,2.316,0.107,25
test,SA,35.0,1190.0,2.857,2.316,0.035,25
train,RHC,1618.0,2055.0,44.051,3.254,0.153,50
test,RHC,453.0,772.0,36.980,3.254,0.024,50
train,SA,408.0,3265.0,11.108,3.349,0.104,50
test,SA,29.0,1196.0,2.367,3.349,0.055,50
train,RHC,1281.0,2392.0,34.876,5.763,0.078,100
test,RHC,579.0,646.0,47.265,5.763,0.012,100
train,SA,71.0,3602.0,1.933,5.901,0.105,100
test,SA,31.0,1194.0,2.531,5.901,0.027,100
train,RHC,1618.0,2055.0,44.051,8.598,0.125,200
test,RHC,579.0,646.0,47.265,8.598,0.029,200
train,SA,37.0,3636.0,1.007,9.074,0.053,200
test,SA,5.0,1220.0,0.408,9.074,0.012,200
train,GA,1005.0,2668.0,27.362,9.083,0.051,10
test,GA,300.0,925.0,24.490,9.083,0.031,10
train,RHC,1374.0,2299.0,37.408,1.097,0.437,10
test,RHC,416.0,809.0,33.959,1.097,0.120,10
train,SA,330.0,3343.0,8.984,1.183,0.318,10
test,SA,1.0,1224.0,0.082,1.183,0.093,10
train,RHC,1352.0,2321.0,36.809,2.115,0.166,25
test,RHC,345.0,880.0,28.163,2.115,0.088,25
train,SA,965.0,2708.0,26.273,2.004,0.191,25
test,SA,205.0,1020.0,16.735,2.004,0.137,25
train,RHC,1474.0,2199.0,40.131,3.123,0.137,50
test,RHC,577.0,648.0,47.102,3.123,0.025,50
train,SA,15.0,3658.0,0.408,3.287,0.242,50
test,SA,5.0,1220.0,0.408,3.287,0.045,50
