algorithm,iterations,optimal
GALowPop,1000,79.0
GALowPop,1000,81.0
GALowPop,1000,81.0
GALowPop,1000,83.0
GALowPop,1000,86.0
GALowPop,1000,86.0
GALowPop,1000,88.0
RHC,1,42.0
RHC,1,47.0
RHC,1,48.0
RHC,1,48.0
RHC,1,49.0
RHC,1,49.0
RHC,1,50.0
RHC,1,53.0
RHC,1,53.0
RHC,1,54.0
RHC,50,52.0
RHC,50,54.0
RHC,50,56.0
RHC,50,57.0
RHC,50,57.0
RHC,50,58.0
RHC,50,61.0
RHC,50,61.0
RHC,50,61.0
RHC,50,63.0
RHC,100,60.0
RHC,100,61.0
RHC,100,63.0
RHC,100,63.0
RHC,100,64.0
RHC,100,65.0
RHC,100,66.0
RHC,100,68.0
RHC,100,68.0
RHC,100,70.0
RHC,150,61.0
RHC,150,66.0
RHC,150,67.0
RHC,150,69.0
RHC,150,70.0
RHC,150,71.0
RHC,150,71.0
RHC,150,72.0
RHC,150,73.0
RHC,150,79.0
RHC,200,68.0
RHC,200,71.0
RHC,200,71.0
RHC,200,72.0
RHC,200,73.0
RHC,200,73.0
RHC,200,74.0
RHC,200,74.0
RHC,200,78.0
RHC,200,82.0
RHC,300,71.0
RHC,300,75.0
RHC,300,76.0
RHC,300,76.0
RHC,300,77.0
RHC,300,78.0
RHC,300,78.0
RHC,300,80.0
RHC,300,80.0
RHC,300,83.0
RHC,400,73.0
RHC,400,75.0
RHC,400,77.0
RHC,400,78.0
RHC,400,79.0
RHC,400,79.0
RHC,400,80.0
RHC,400,83.0
RHC,400,83.0
RHC,400,87.0
RHC,500,74.0
RHC,500,75.0
RHC,500,75.0
RHC,500,78.0
RHC,500,78.0
RHC,500,79.0
RHC,500,81.0
RHC,500,83.0
RHC,500,84.0
RHC,500,87.0
RHC,600,77.0
RHC,600,77.0
RHC,600,79.0
RHC,600,80.0
RHC,600,81.0
RHC,600,82.0
RHC,600,82.0
RHC,600,83.0
RHC,600,83.0
RHC,600,86.0
RHC,700,75.0
RHC,700,76.0
RHC,700,76.0
RHC,700,78.0
RHC,700,79.0
RHC,700,79.0
RHC,700,79.0
RHC,700,80.0
RHC,700,81.0
RHC,700,83.0
RHC,800,74.0
RHC,800,75.0
RHC,800,78.0
RHC,800,78.0
RHC,800,79.0
RHC,800,81.0
RHC,800,81.0
RHC,800,81.0
RHC,800,84.0
RHC,800,84.0
RHC,900,77.0
RHC,900,78.0
RHC,900,80.0
RHC,900,80.0
RHC,900,80.0
RHC,900,80.0
RHC,900,82.0
RHC,900,82.0
RHC,900,84.0
RHC,900,91.0
RHC,1000,77.0
RHC,1000,79.0
RHC,1000,80.0
RHC,1000,80.0
RHC,1000,82.0
RHC,1000,82.0
RHC,1000,83.0
RHC,1000,83.0
RHC,1000,84.0
RHC,1000,86.0
SA55,1,41.0
SA55,1,46.0
SA55,1,46.0
SA55,1,47.0
SA55,1,48.0
SA55,1,49.0
SA55,1,49.0
SA55,1,51.0
SA55,1,51.0
SA55,1,53.0
SA55,50,46.0
SA55,50,47.0
SA55,50,49.0
SA55,50,50.0
SA55,50,50.0
SA55,50,50.0
SA55,50,50.0
SA55,50,54.0
SA55,50,55.0
SA55,50,60.0
SA55,100,54.0
SA55,100,56.0
SA55,100,57.0
SA55,100,58.0
SA55,100,58.0
SA55,100,60.0
SA55,100,62.0
SA55,100,62.0
SA55,100,63.0
SA55,100,65.0
SA55,150,57.0
SA55,150,60.0
SA55,150,64.0
SA55,150,64.0
SA55,150,65.0
SA55,150,67.0
SA55,150,69.0
SA55,150,71.0
SA55,150,72.0
SA55,150,75.0
SA55,200,65.0
SA55,200,68.0
SA55,200,68.0
SA55,200,70.0
SA55,200,73.0
SA55,200,73.0
SA55,200,74.0
SA55,200,76.0
SA55,200,81.0
SA55,200,82.0
SA55,300,70.0
SA55,300,72.0
SA55,300,73.0
SA55,300,73.0
SA55,300,74.0
SA55,300,76.0
SA55,300,77.0
SA55,300,78.0
SA55,300,80.0
SA55,300,82.0
SA55,400,76.0
SA55,400,77.0
SA55,400,77.0
SA55,400,77.0
SA55,400,77.0
SA55,400,79.0
SA55,400,79.0
SA55,400,80.0
SA55,400,81.0
SA55,400,82.0
SA55,500,78.0
SA55,500,79.0
SA55,500,79.0
SA55,500,80.0
SA55,500,81.0
SA55,500,83.0
SA55,500,86.0
SA55,500,87.0
SA55,500,89.0
SA55,500,89.0
SA55,600,79.0
SA55,600,80.0
SA55,600,83.0
SA55,600,83.0
SA55,600,83.0
SA55,600,83.0
SA55,600,84.0
SA55,600,85.0
SA55,600,87.0
SA55,600,88.0
SA55,700,81.0
SA55,700,81.0
SA55,700,82.0
SA55,700,83.0
SA55,700,83.0
SA55,700,84.0
SA55,700,85.0
SA55,700,87.0
SA55,700,87.0
SA55,700,88.0
SA55,800,83.0
SA55,800,84.0
SA55,800,84.0
SA55,800,84.0
SA55,800,85.0
SA55,800,85.0
SA55,800,85.0
SA55,800,87.0
SA55,800,89.0
SA55,800,89.0
SA55,900,83.0
SA55,900,85.0
SA55,900,86.0
SA55,900,86.0
SA55,900,87.0
SA55,900,89.0
SA55,900,89.0
SA55,900,90.0
SA55,900,90.0
SA55,900,94.0
SA55,1000,85.0
SA55,1000,86.0
SA55,1000,86.0
SA55,1000,87.0
SA55,1000,88.0
SA55,1000,89.0
SA55,1000,89.0
SA55,1000,89.0
SA55,1000,90.0
SA55,1000,91.0
SA75,1,42.0
SA75,1,42.0
SA75,1,45.0
SA75,1,46.0
SA75,1,46.0
SA75,1,49.0
SA75,1,51.0
SA75,1,51.0
SA75,1,51.0
SA75,1,55.0
SA75,50,42.0
SA75,50,47.0
SA75,50,48.0
SA75,50,48.0
SA75,50,49.0
SA75,50,50.0
SA75,50,55.0
SA75,50,55.0
SA75,50,57.0
SA75,50,65.0
SA75,100,45.0
SA75,100,46.0
SA75,100,51.0
SA75,100,51.0
SA75,100,52.0
SA75,100,52.0
SA75,100,53.0
SA75,100,55.0
SA75,100,57.0
SA75,100,57.0
SA75,150,56.0
SA75,150,56.0
SA75,150,58.0
SA75,150,58.0
SA75,150,59.0
SA75,150,60.0
SA75,150,63.0
SA75,150,64.0
SA75,150,64.0
SA75,150,67.0
SA75,200,59.0
SA75,200,60.0
SA75,200,61.0
SA75,200,62.0
SA75,200,62.0
SA75,200,68.0
SA75,200,69.0
SA75,200,71.0
SA75,200,72.0
SA75,200,73.0
SA75,300,69.0
SA75,300,70.0
SA75,300,72.0
SA75,300,73.0
SA75,300,78.0
SA75,300,78.0
SA75,300,78.0
SA75,300,80.0
SA75,300,80.0
SA75,300,81.0
SA75,400,69.0
SA75,400,76.0
SA75,400,76.0
SA75,400,77.0
SA75,400,77.0
SA75,400,77.0
SA75,400,78.0
SA75,400,83.0
SA75,400,84.0
SA75,400,86.0
SA75,500,81.0
SA75,500,82.0
SA75,500,82.0
SA75,500,82.0
SA75,500,83.0
SA75,500,83.0
SA75,500,85.0
SA75,500,85.0
SA75,500,86.0
SA75,500,86.0
SA75,600,79.0
SA75,600,79.0
SA75,600,80.0
SA75,600,81.0
SA75,600,83.0
SA75,600,86.0
SA75,600,86.0
SA75,600,87.0
SA75,600,87.0
SA75,600,87.0
SA75,700,80.0
SA75,700,82.0
SA75,700,83.0
SA75,700,83.0
SA75,700,84.0
SA75,700,85.0
SA75,700,85.0
SA75,700,86.0
SA75,700,86.0
SA75,700,87.0
SA75,800,80.0
SA75,800,82.0
SA75,800,83.0
SA75,800,84.0
SA75,800,86.0
SA75,800,86.0
SA75,800,89.0
SA75,800,90.0
SA75,800,91.0
SA75,800,91.0
SA75,900,84.0
SA75,900,84.0
SA75,900,86.0
SA75,900,86.0
SA75,900,86.0
SA75,900,87.0
SA75,900,87.0
SA75,900,87.0
SA75,900,88.0
SA75,900,89.0
SA75,1000,84.0
SA75,1000,86.0
SA75,1000,86.0
SA75,1000,87.0
SA75,1000,88.0
SA75,1000,88.0
SA75,1000,89.0
SA75,1000,89.0
SA75,1000,90.0
SA75,1000,91.0
SA95,1,42.0
SA95,1,46.0
SA95,1,47.0
SA95,1,47.0
SA95,1,47.0
SA95,1,48.0
SA95,1,50.0
SA95,1,52.0
SA95,1,52.0
SA95,1,61.0
SA95,50,43.0
SA95,50,47.0
SA95,50,48.0
SA95,50,49.0
SA95,50,53.0
SA95,50,53.0
SA95,50,53.0
SA95,50,55.0
SA95,50,56.0
SA95,50,58.0
SA95,100,41.0
SA95,100,46.0
SA95,100,48.0
SA95,100,49.0
SA95,100,49.0
SA95,100,51.0
SA95,100,52.0
SA95,100,53.0
SA95,100,54.0
SA95,100,58.0
SA95,150,45.0
SA95,150,45.0
SA95,150,48.0
SA95,150,51.0
SA95,150,51.0
SA95,150,52.0
SA95,150,52.0
SA95,150,54.0
SA95,150,56.0
SA95,150,56.0
SA95,200,44.0
SA95,200,44.0
SA95,200,47.0
SA95,200,48.0
SA95,200,49.0
SA95,200,52.0
SA95,200,52.0
SA95,200,55.0
SA95,200,59.0
SA95,200,60.0
SA95,300,41.0
SA95,300,46.0
SA95,300,46.0
SA95,300,47.0
SA95,300,50.0
SA95,300,51.0
SA95,300,52.0
SA95,300,54.0
SA95,300,55.0
SA95,300,55.0
SA95,400,41.0
SA95,400,42.0
SA95,400,43.0
SA95,400,49.0
SA95,400,49.0
SA95,400,49.0
SA95,400,51.0
SA95,400,52.0
SA95,400,55.0
SA95,400,57.0
SA95,500,50.0
SA95,500,51.0
SA95,500,53.0
SA95,500,55.0
SA95,500,55.0
SA95,500,57.0
SA95,500,59.0
SA95,500,60.0
SA95,500,60.0
SA95,500,60.0
SA95,600,61.0
SA95,600,68.0
SA95,600,68.0
SA95,600,68.0
SA95,600,68.0
SA95,600,71.0
SA95,600,71.0
SA95,600,71.0
SA95,600,72.0
SA95,600,75.0
SA95,700,71.0
SA95,700,71.0
SA95,700,73.0
SA95,700,74.0
SA95,700,75.0
SA95,700,75.0
SA95,700,76.0
SA95,700,78.0
SA95,700,80.0
SA95,700,84.0
SA95,800,68.0
SA95,800,72.0
SA95,800,74.0
SA95,800,75.0
SA95,800,77.0
SA95,800,77.0
SA95,800,78.0
SA95,800,80.0
SA95,800,80.0
SA95,800,80.0
SA95,900,78.0
SA95,900,79.0
SA95,900,79.0
SA95,900,81.0
SA95,900,82.0
SA95,900,82.0
SA95,900,82.0
SA95,900,84.0
SA95,900,84.0
SA95,900,85.0
SA95,1000,78.0
SA95,1000,81.0
SA95,1000,83.0
SA95,1000,84.0
SA95,1000,87.0
SA95,1000,87.0
SA95,1000,87.0
SA95,1000,87.0
SA95,1000,87.0
SA95,1000,89.0
MIMIC50,1,62.0
MIMIC50,1,64.0
MIMIC50,1,64.0
MIMIC50,1,66.0
MIMIC50,1,67.0
MIMIC50,1,67.0
MIMIC50,1,67.0
MIMIC50,1,68.0
MIMIC50,1,68.0
MIMIC50,1,71.0
MIMIC50,50,80.0
MIMIC50,50,84.0
MIMIC50,50,84.0
MIMIC50,50,84.0
MIMIC50,50,84.0
MIMIC50,50,85.0
MIMIC50,50,85.0
MIMIC50,50,85.0
MIMIC50,50,86.0
MIMIC50,50,87.0
MIMIC50,100,83.0
MIMIC50,100,86.0
MIMIC50,100,86.0
MIMIC50,100,86.0
MIMIC50,100,86.0
MIMIC50,100,86.0
MIMIC50,100,87.0
MIMIC50,100,88.0
MIMIC50,100,90.0
MIMIC50,100,93.0
MIMIC50,150,85.0
MIMIC50,150,86.0
MIMIC50,150,86.0
MIMIC50,150,86.0
