percent-correct,iterations
65.388,5
65.551,5
65.633,5
65.633,10
65.633,10
65.633,10
65.796,20
65.714,20
65.633,20
65.633,30
65.551,30
65.551,30
65.469,40
65.551,40
65.469,40
65.388,50
68.490,50
75.592,100
66.776,100
67.592,200
75.429,200
64.653,500
75.592,500
74.367,1000
71.020,1000
62.694,1500
77.633,1500
