SA,29.404,0.579,10
RHC,29.485,0.670,10
SA,18.187,1.057,20
RHC,43.915,1.251,20
SA,18.513,1.619,50
RHC,43.915,1.647,50
SA,44.024,2.384,100
RHC,44.051,2.419,100
GA,28.778,6.514,10
GA,30.112,11.565,20
GA,43.806,23.130,50
GA,44.051,32.921,100
