algorithm,iterations,functions
MIMIC200,1,601
MIMIC200,500,100401
MIMIC200,500,100401
MIMIC200,500,100401
MIMIC200,500,100401
MIMIC200,500,100401
MIMIC200,500,100401
MIMIC200,500,100401
MIMIC200,500,100401
MIMIC200,500,100401
MIMIC200,500,100401
MIMIC200,1000,200401
MIMIC200,1000,200401
MIMIC200,1000,200401
MIMIC200,1000,200401
MIMIC200,1000,200401
MIMIC200,1000,200401
MIMIC200,1000,200401
MIMIC200,1000,200401
MIMIC200,1000,200401
MIMIC200,1000,200401
MIMIC200,1500,300401
MIMIC200,1500,300401
MIMIC200,1500,300401
MIMIC200,1500,300401
MIMIC200,1500,300401
MIMIC200,1500,300401
MIMIC200,1500,300401
MIMIC200,1500,300401
MIMIC200,1500,300401
MIMIC200,1500,300401
MIMIC200,2000,400401
MIMIC200,2000,400401
MIMIC200,2000,400401
MIMIC200,2000,400401
MIMIC200,2000,400401
MIMIC200,2000,400401
MIMIC200,2000,400401
MIMIC200,2000,400401
MIMIC200,2000,400401
MIMIC200,2000,400401
MIMIC200,2500,500401
MIMIC200,2500,500401
MIMIC200,2500,500401
MIMIC200,2500,500401
MIMIC200,2500,500401
MIMIC200,2500,500401
MIMIC200,2500,500401
MIMIC200,2500,500401
MIMIC200,2500,500401
MIMIC200,2500,500401
MIMIC200,3000,600401
MIMIC200,3000,600401
MIMIC200,3000,600401
MIMIC200,3000,600401
MIMIC200,3000,600401
MIMIC200,3000,600401
MIMIC200,3000,600401
MIMIC200,3000,600401
MIMIC200,3000,600401
MIMIC200,3000,600401
MIMIC200,3500,700401
MIMIC200,3500,700401
MIMIC200,3500,700401
MIMIC200,3500,700401
MIMIC200,3500,700401
MIMIC200,3500,700401
MIMIC200,3500,700401
MIMIC200,3500,700401
MIMIC200,3500,700401
MIMIC200,3500,700401
MIMIC200,4000,800401
MIMIC200,4000,800401
MIMIC200,4000,800401
MIMIC200,4000,800401
MIMIC200,4000,800401
MIMIC200,4000,800401
MIMIC200,4000,800401
MIMIC200,4000,800401
MIMIC200,4000,800401
MIMIC200,4000,800401
MIMIC200,4500,900401
MIMIC200,4500,900401
MIMIC200,4500,900401
MIMIC200,4500,900401
MIMIC200,4500,900401
MIMIC200,4500,900401
MIMIC200,4500,900401
MIMIC200,4500,900401
MIMIC200,4500,900401
MIMIC200,4500,900401
MIMIC200,5000,1000401
MIMIC200,5000,1000401
MIMIC200,5000,1000401
MIMIC200,5000,1000401
MIMIC200,5000,1000401
MIMIC200,5000,1000401
MIMIC200,5000,1000401
MIMIC200,5000,1000401
MIMIC200,5000,1000401
MIMIC200,5000,1000401
